ticker,bought,buy,stop,risk%,ext_vs_SMA%,pos%,exit,exit_px,why,held_wk,R,gap_through,giveback,crash,GAP
GSFC,2022-07-25,144.7,124.9,13.7,16.4,15.0,2022-09-26,116.3,stop,9,-1.43,True,False,False,late/extended-entry
TCI,2022-09-19,743.4,662.2,10.9,10.1,18.0,2022-11-07,654.9,stop,7,-1.09,True,False,False,gap-through-stop
KPITTECH,2022-09-26,640.0,547.6,14.4,16.0,14.0,2022-12-26,640.0,time,13,-0.0,False,False,False,late/extended-entry
PRAJIND,2022-10-10,434.8,387.0,11.0,18.8,18.0,2022-11-28,373.8,stop,7,-1.28,True,False,False,late/extended-entry
CHALET,2022-11-28,358.6,318.7,11.1,13.5,18.0,2022-12-26,321.6,stop,4,-0.93,False,False,False,late/extended-entry
ATGL,2023-01-02,3694.9,3095.8,16.2,24.7,12.0,2023-01-30,2497.6,stop,4,-2.0,True,False,False,late/extended-entry
SHOPERSTOP,2023-07-31,792.8,725.2,8.5,11.9,23.0,2023-08-28,713.0,stop,4,-1.18,True,False,False,gap-through-stop
JUBLPHARMA,2023-08-14,443.5,368.6,16.9,27.6,12.0,2023-11-13,410.4,time,13,-0.44,False,False,False,late/extended-entry
FINCABLES,2023-12-05,1012.7,914.7,9.7,13.0,21.0,2024-03-04,946.6,stop,13,-0.67,False,False,False,late/extended-entry
TANLA,2023-12-18,1032.8,860.1,16.7,21.7,12.0,2024-03-18,814.4,stop,13,-1.26,True,False,False,late/extended-entry
MFSL,2024-02-12,985.5,861.8,12.6,15.1,16.0,2024-05-13,977.9,time,13,-0.06,False,False,False,late/extended-entry
BORORENEW,2024-03-04,568.4,510.2,10.2,18.0,20.0,2024-03-18,495.1,stop,2,-1.26,True,False,False,late/extended-entry
BLS,2024-03-18,353.8,260.1,26.5,27.3,8.0,2024-06-18,348.5,time,13,-0.06,False,False,False,late/extended-entry
LATENTVIEW,2024-04-01,511.9,452.3,11.6,17.0,17.0,2024-07-01,501.3,time,13,-0.18,False,False,False,late/extended-entry
JYOTHYLAB,2024-05-13,458.9,404.7,11.8,12.2,17.0,2024-06-03,410.7,stop,3,-0.89,False,False,False,late/extended-entry
ZFCVINDIA,2024-06-04,2891.1,2211.1,23.5,14.2,9.0,2024-09-02,2622.1,time,13,-0.4,False,False,False,late/extended-entry
JKPAPER,2024-06-18,482.1,398.2,17.4,28.4,11.0,2024-09-16,453.2,time,13,-0.34,False,False,False,late/extended-entry
NIACL,2024-07-29,286.1,235.0,17.9,28.3,11.0,2024-08-19,237.5,stop,3,-0.95,False,False,False,late/extended-entry
ADANIPOWER,2024-08-19,139.6,124.0,11.2,18.6,18.0,2024-10-21,123.0,stop,9,-1.06,True,False,False,late/extended-entry
TRIVENI,2024-08-19,411.1,368.9,10.3,16.8,19.0,2024-11-18,367.9,time,13,-1.02,False,False,True,late/extended-entry
SUNDARMFIN,2024-09-02,4999.3,4226.0,15.5,23.5,13.0,2024-11-18,4103.6,stop,11,-1.16,True,False,True,late/extended-entry
GSPL,2024-09-02,419.9,338.0,19.5,27.6,10.0,2024-11-25,336.0,stop,12,-1.02,True,False,False,late/extended-entry
