ticker,rows,first,last,status
DHANUKA,3681,2011-06-29,2026-06-05,OK
DISHTV,3700,2011-06-06,2026-06-05,OK
DREDGECORP,3700,2011-06-06,2026-06-05,OK
EASEMYTRIP,1289,2021-03-19,2026-06-05,OK
EDELWEISS,3700,2011-06-06,2026-06-05,OK
EMMVEE,137,2025-11-18,2026-06-05,OK
ENRIN,240,2025-06-19,2026-06-05,OK
EPIGRAL,1185,2021-08-18,2026-06-05,OK
EPL,3699,2011-06-06,2026-06-05,OK
EQUITASBNK,1384,2020-11-02,2026-06-05,OK
EROSMEDIA,3700,2011-06-06,2026-06-05,WARN
ESABINDIA,3698,2011-06-06,2026-06-05,OK
EVEREADY,3699,2011-06-06,2026-06-05,OK
FCONSUMER,3597,2011-11-04,2026-06-05,WARN
FDC,3699,2011-06-06,2026-06-05,OK
FINEORG,1958,2018-07-02,2026-06-05,OK
FLFL,3125,2013-10-01,2026-06-05,OK
FORCEMOT,1642,2019-08-19,2026-06-05,WARN
FRETAIL,2414,2016-08-29,2026-06-05,WARN
GABRIEL,3700,2011-06-06,2026-06-05,OK
GAEL,3700,2011-06-06,2026-06-05,OK
GALAXYSURF,2053,2018-02-08,2026-06-05,OK
GALLANTT,3699,2011-06-06,2026-06-05,WARN
GARFIBRES,3699,2011-06-06,2026-06-05,WARN
GAYAPROJ,3646,2011-08-22,2026-06-05,WARN
GHCL,3700,2011-06-06,2026-06-05,OK
GMMPFAUDLR,2039,2018-03-05,2026-06-05,OK
GOCOLORS,1117,2021-11-30,2026-06-05,OK
GREAVESCOT,3700,2011-06-06,2026-06-05,OK
GREENPANEL,1641,2019-10-23,2026-06-05,OK
GREENPLY,3700,2011-06-06,2026-06-05,WARN
GRINDWELL,3699,2011-06-06,2026-06-05,OK
GRINFRA,1208,2021-07-19,2026-06-05,OK
GROWW,141,2025-11-12,2026-06-05,OK
GSFC,3700,2011-06-06,2026-06-05,OK
GUJALKALI,3699,2011-06-06,2026-06-05,OK
GULFOILLUB,2922,2014-07-31,2026-06-05,OK
GVKPIL,3700,2011-06-06,2026-06-05,WARN
HATHWAY,3700,2011-06-06,2026-06-05,OK
