ticker,signal_date,entry_date,exit_date,why,close_sig,st_line,ema200,pivot,atr14,entry_px,stop_px,target_px,exit_px,R,mfe_R,mae_R,held_d,stop_pct,gap_flag,pnl
TIINDIA,2019-07-10,2019-07-11,2019-07-17,target,378.67,,342.0,377.86,10.44,375.18,357.8,409.95,409.95,2.0,2.18,0.0,4,4.6,False,9138.0
MUTHOOTFIN,2019-07-16,2019-07-17,2019-07-19,stop,563.92,,486.83,549.82,16.57,563.88,530.78,630.08,530.78,-1.0,0.09,-1.04,2,5.9,False,-6679.0
TEAMLEASE,2019-07-01,2019-07-02,2019-07-22,stop,3016.2,,2819.07,2982.5,97.9,3033.35,2820.4,3459.24,2820.4,-1.0,0.41,-1.19,14,7.0,False,-8093.0
ELGIEQUIP,2019-06-14,2019-06-17,2019-07-29,stop,128.33,,125.47,127.9,3.46,127.34,121.4,139.21,121.4,-1.0,0.72,-1.12,30,4.7,False,-5337.0
TATAINVEST,2019-07-18,2019-07-19,2019-07-30,stop,76.87,,73.54,76.58,1.45,76.41,73.97,81.28,73.59,-1.157,0.3,-1.16,7,3.2,True,-4386.0
SONATSOFTW,2019-04-15,2019-04-16,2019-07-31,stop,104.46,,98.4,103.72,2.88,105.25,98.7,118.33,98.7,-1.0,0.99,-1.24,71,6.2,False,-7220.0
BALRAMCHIN,2019-07-10,2019-07-11,2019-07-31,stop,144.4,,117.27,142.65,6.12,144.73,132.15,169.88,132.15,-1.0,0.8,-1.17,14,8.7,False,-9581.0
DIVISLAB,2019-07-26,2019-07-29,2019-07-31,stop,1587.94,,1461.61,1570.24,36.46,1591.09,1515.03,1743.2,1515.03,-1.0,0.04,-1.31,2,4.8,False,-5378.0
BALRAMCHIN,2019-08-01,2019-08-02,2019-08-05,stop,134.99,,120.84,134.16,6.39,132.98,122.2,154.52,122.2,-1.0,0.0,-1.43,1,8.1,False,-8465.0
PGHH,2019-07-31,2019-08-01,2019-08-06,stop,9815.09,,9305.65,9703.09,231.18,10038.04,9352.74,11408.64,9352.74,-1.0,0.0,-1.01,3,6.8,False,-7310.0
MASFIN,2019-08-01,2019-08-02,2019-08-07,target,190.02,,182.88,189.16,8.69,184.12,172.64,207.07,207.07,2.0,2.97,-0.34,3,6.2,False,11778.0
PIDILITIND,2019-08-02,2019-08-05,2019-08-13,target,610.71,,564.71,600.79,15.81,606.97,579.1,662.71,662.71,2.0,2.13,0.0,5,4.6,False,8566.0
AIAENG,2019-02-15,2019-02-18,2019-08-22,stop,1624.96,,1551.03,1605.12,44.1,1629.22,1536.75,1814.17,1536.75,-1.0,1.71,-1.14,123,5.7,False,-6306.0
JKCEMENT,2019-07-19,2019-07-22,2019-08-27,target,947.75,,840.52,943.67,27.2,935.29,893.35,1019.17,1019.17,2.0,2.62,-0.94,24,4.5,False,8698.0
NAM-INDIA,2019-05-16,2019-05-17,2019-08-28,target,164.43,,154.08,163.45,7.38,172.92,149.66,219.45,219.45,2.0,2.53,-0.27,70,13.5,False,26272.0
APOLLOHOSP,2019-08-06,2019-08-07,2019-08-28,target,1313.13,,1217.39,1309.03,42.63,1312.88,1227.87,1482.91,1482.91,2.0,2.25,-0.39,13,6.5,False,12166.0
GUJGASLTD,2019-08-05,2019-08-06,2019-09-04,stop,172.3,,147.24,168.09,7.42,172.58,157.46,202.82,157.46,-1.0,0.6,-1.07,18,8.8,False,-8994.0
TCS,2019-08-22,2019-08-23,2019-09-12,stop,1840.87,,1704.54,1840.39,39.36,1840.0,1762.15,1995.69,1762.15,-1.0,0.87,-1.01,12,4.2,False,-4775.0
JBCHEPHARM,2019-08-09,2019-08-13,2019-09-13,target,169.94,,156.34,169.47,3.84,170.12,162.27,185.83,185.83,2.0,2.59,0.0,20,4.6,False,8765.0
ASTRAL,2019-09-03,2019-09-04,2019-09-16,target,578.67,,526.03,559.96,16.6,578.62,545.46,644.95,664.86,2.6,3.59,-0.21,7,5.7,False,14692.0
REDINGTON,2019-08-26,2019-08-27,2019-09-17,stop,45.72,,39.22,42.08,2.37,45.72,40.98,55.2,40.98,-1.0,0.14,-1.07,13,10.4,False,-11140.0
CROMPTON,2019-05-08,2019-05-09,2019-09-20,target,212.97,,211.08,209.93,7.85,213.67,197.26,246.5,246.5,2.0,2.43,-0.91,91,7.7,False,15050.0
FINPIPE,2019-08-27,2019-08-28,2019-09-20,target,91.7,,91.21,89.59,2.7,91.22,86.31,101.05,101.05,2.0,3.27,-0.62,15,5.4,False,10490.0
HEXAWARE,2019-08-27,2019-08-28,2019-09-23,stop,393.15,,361.65,391.07,12.51,394.0,368.14,445.73,368.14,-1.0,0.06,-1.32,16,6.6,False,-7218.0
