tkr,sig_date,entry_date,entry,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
ABB,2022-05-05,2022-05-10,2249.8,2044.88,2.0,,,2022-06-22,2187.11,stall,31,-0.306,False,-5859.71,367.86
MRPL,2022-06-21,2022-06-23,84.56,75.62,2.0,,,2022-07-04,75.62,stop,7,-1.0,False,-15309.29,265.54
ASAHIINDIA,2022-06-15,2022-06-20,458.32,425.38,2.0,2022-06-24,524.1936084533454,2022-07-05,557.13,target3,11,2.5,False,34792.09,440.82
JAMNAAUTO,2022-06-30,2022-07-04,119.25,112.18,2.0,,,2022-08-04,112.18,stop,23,-1.0,False,-17297.06,507.84
PHOENIXLTD,2022-06-17,2022-06-22,549.66,511.35,2.0,2022-07-07,626.2606016959,2022-08-12,664.56,target3,36,2.5,False,35964.25,469.35
BDL,2022-08-08,2022-08-12,432.15,399.65,2.0,,,2022-08-22,399.65,stop,5,-1.0,False,-16525.32,404.39
ABB,2022-07-04,2022-07-07,2489.98,2219.25,2.0,2022-08-25,3031.434902515323,2022-09-01,3302.16,target3,37,2.5,False,37542.86,323.23
ELGIEQUIP,2022-08-01,2022-08-04,437.33,367.67,2.0,,,2022-09-27,418.28,deep,35,-0.273,False,-4991.13,193.75
CHOLAFIN,2022-08-01,2022-08-04,758.84,684.35,2.0,,,2022-09-28,711.82,stall,36,-0.631,False,-10517.07,311.43
ASHOKLEY,2022-05-20,2022-05-25,64.25,57.42,2.0,,,2022-10-04,69.98,stall,91,0.838,False,12848.6,314.33
CCL,2022-08-22,2022-08-23,446.79,402.24,2.0,,,2022-10-21,466.28,stall,41,0.438,False,5730.77,320.97
ASAHIINDIA,2022-08-22,2022-08-25,626.51,549.28,2.0,,,2022-10-24,599.66,stall,40,-0.348,False,-6523.02,256.88
RENUKA,2022-09-20,2022-09-23,60.8,49.5,2.0,,,2022-11-14,54.55,stall,33,-0.553,False,-9726.92,173.75
ASTERDM,2022-09-27,2022-09-28,192.44,174.66,2.0,,,2022-11-15,174.66,stop,31,-1.0,True,-17118.05,329.75
RAYMOND,2022-09-29,2022-10-04,1083.77,997.71,2.0,2022-10-12,1255.8944468941856,2022-11-17,1341.95,target3,29,2.5,False,38038.31,438.25
ALLCARGO,2022-11-09,2022-11-14,109.46,98.35,2.0,,,2022-12-13,100.22,stall,21,-0.832,False,-15129.93,318.26
KIMS,2022-11-14,2022-11-15,317.8,288.12,2.0,,,2022-12-14,288.12,stop,21,-1.0,False,-18238.91,347.54
POLYCAB,2022-12-12,2022-12-15,2944.65,2659.51,2.0,,,2022-12-19,2659.51,stop,2,-1.0,False,-17432.57,330.91
LAXMIMACH,2022-10-19,2022-10-24,12528.34,11765.51,2.0,,,2022-12-23,11765.51,stop,42,-1.0,False,-18016.06,516.21
KALYANKJIL,2022-12-09,2022-12-13,119.83,107.52,2.0,,,2022-12-23,107.52,stop,8,-1.0,False,-17723.03,307.48
PNBHOUSING,2022-12-19,2022-12-21,437.28,379.34,2.0,,,2022-12-23,379.34,stop,2,-1.0,False,-16824.85,231.27
LINDEINDIA,2022-12-22,2022-12-23,3503.46,3253.43,2.0,,,2022-12-26,3253.43,stop,1,-1.0,True,-17031.84,420.5
MAXHEALTH,2022-12-20,2022-12-23,444.97,420.31,2.0,,,2022-12-27,444.92,stall,2,-0.002,False,-1042.1,561.5
CANBK,2022-10-17,2022-10-19,43.94,39.0,2.0,2022-11-07,53.816794638083145,2022-12-30,58.76,target3,50,2.5,False,40161.76,330.73
CGCL,2022-12-22,2022-12-27,728.23,693.97,2.0,,,2023-01-11,705.71,stall,11,-0.657,False,-11515.48,599.68
GODFRYPHLP,2023-01-06,2023-01-11,667.83,613.8,2.0,,,2023-01-16,613.8,stop,3,-1.0,False,-15573.63,341.09
CENTRALBK,2023-01-11,2023-01-16,30.26,28.6,2.0,,,2023-01-25,28.6,stop,7,-1.0,False,-15169.17,503.57
HUDCO,2022-11-15,2022-11-17,42.18,35.53,2.0,,,2023-01-27,42.18,stall,50,0.0,False,-751.36,214.68
SCI,2023-01-02,2023-01-04,140.71,122.37,2.0,,,2023-01-27,122.37,stop,16,-1.0,False,-15248.37,208.27
KARURVYSYA,2023-01-23,2023-01-25,88.13,81.26,2.0,,,2023-01-31,83.95,stall,3,-0.608,False,-9420.19,339.15
MAXHEALTH,2023-01-23,2023-01-27,445.97,423.89,2.0,,,2023-01-31,438.06,stall,2,-0.358,False,-5739.47,533.79
INDIANB,2023-01-30,2023-01-31,271.64,251.92,2.0,,,2023-02-01,251.92,stop,1,-1.0,False,-14524.53,352.84
AEGISLOG,2022-12-26,2022-12-27,334.27,308.4,2.0,,,2023-02-22,341.64,stall,40,0.285,False,2772.66,374.33
M&M,2023-01-27,2023-01-31,1316.01,1252.72,2.0,,,2023-02-24,1252.72,stop,18,-1.0,False,-14260.51,539.4
RATNAMANI,2023-02-21,2023-02-23,2232.25,2081.35,2.0,,,2023-02-27,2081.35,stop,2,-1.0,False,-13743.4,357.14
RITES,2023-03-01,2023-03-06,160.75,148.59,2.0,,,2023-03-09,159.56,stall,2,-0.097,False,-2466.72,342.57
