tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
RATNAMANI,2020-03-16,816.59,614.69,2.0,32.85,,,2020-03-30,568.09,stop,2,-1.231,-36148.79,195.65
MRF,2020-03-16,61376.14,55466.21,2.0,10.66,,,2020-04-07,55931.48,stop,3,-0.921,-27300.24,566.24
FINEORG,2020-03-16,2149.84,1704.26,2.0,26.14,,,2020-06-15,1944.34,time,13,-0.461,-14545.72,262.12
ALKYLAMINE,2020-03-23,430.95,400.28,2.0,7.66,2020-04-13,552.48,2020-06-22,812.99,time,13,7.228,204167.57,917.29
DIVISLAB,2020-03-23,1794.52,1582.18,2.0,13.42,2020-04-13,2313.54,2020-06-22,2265.04,time,13,2.108,57989.2,485.86
AJANTPHARM,2020-03-30,762.17,601.85,2.0,26.64,,,2020-06-29,905.59,time,13,0.895,20886.4,253.19
METROPOLIS,2020-03-30,335.51,244.42,2.0,37.27,,,2020-06-29,347.43,time,13,0.131,2548.13,182.49
INDOCO,2020-04-07,217.3,166.4,2.0,30.59,,,2020-07-06,199.97,time,13,-0.34,-9364.41,195.83
ASTRAZEN,2020-04-07,2487.41,2037.21,2.0,22.1,2020-07-06,3487.2,2020-07-13,3396.22,time,14,2.009,49532.97,314.59
APLLTD,2020-04-13,641.32,516.12,2.0,24.26,,,2020-07-13,892.83,time,13,2.009,54074.54,337.03
BHARTIARTL,2020-04-13,469.35,414.05,2.0,13.36,,,2020-07-13,549.17,time,13,1.443,38786.19,506.57
GRSE,2020-06-17,170.78,136.48,2.0,25.13,,,2020-09-14,166.19,time,13,-0.134,-5381.95,314.27
BAJAJELEC,2020-06-22,384.3,355.85,2.0,8.0,2020-08-31,491.98,2020-09-14,429.69,trail,12,1.798,83261.2,956.37
ADANIENSOL,2020-06-29,271.1,222.2,2.0,22.01,,,2020-09-28,249.7,time,13,-0.438,-14567.78,339.65
APLAPOLLO,2020-07-06,175.58,150.43,2.0,16.72,2020-08-24,232.69,2020-10-05,294.73,time,13,3.368,109478.1,555.44
COFORGE,2020-07-13,299.37,267.56,2.0,11.89,2020-08-10,374.57,2020-10-12,463.19,time,13,3.575,117823.54,715.82
HINDCOPPER,2020-07-13,38.15,32.12,2.0,18.76,,,2020-10-12,31.97,stop,13,-1.024,-33756.31,368.88
BLISSGVS,2020-08-10,126.56,103.62,2.0,22.13,,,2020-11-09,163.94,time,13,1.63,54808.28,437.82
GMRAIRPORT,2020-08-24,22.16,18.69,2.0,18.55,,,2020-11-23,22.75,time,13,0.169,5375.28,478.27
AEGISLOG,2020-08-31,206.05,178.23,2.0,15.61,,,2020-12-01,245.22,time,13,1.408,52244.26,627.16
BLUEDART,2020-09-14,2817.11,2259.56,2.0,24.68,2020-11-17,4098.51,2020-12-14,3795.28,time,13,1.877,72473.74,443.19
INDOCO,2020-09-21,269.46,217.79,2.0,23.73,,,2020-12-21,266.53,time,13,-0.057,-3511.25,390.81
CROMPTON,2020-10-05,277.95,244.48,2.0,13.69,2020-12-21,354.38,2021-01-04,365.54,time,13,2.309,92545.24,739.97
ASAHIINDIA,2020-10-13,222.71,203.0,2.0,9.71,2020-12-07,269.86,2021-01-11,288.73,time,13,2.675,102764.95,965.61
MASFIN,2020-11-17,320.07,261.74,2.0,22.29,,,2021-02-15,275.15,time,13,-0.77,-33719.33,412.32
HATHWAY,2020-11-23,31.85,28.0,2.0,13.75,,,2021-02-22,29.7,time,13,-0.558,-26908.99,652.64
IGL,2020-12-01,224.91,196.31,2.0,14.57,,,2021-03-01,221.79,time,13,-0.109,-5770.97,656.89
IRCTC,2020-12-07,302.83,257.27,2.0,17.71,,,2021-03-08,374.47,time,13,1.573,68232.77,656.19
CAPLIPOINT,2020-12-28,498.22,440.18,2.0,13.18,,,2021-03-22,416.61,stop,12,-1.406,-63453.2,684.51
IRCON,2021-02-15,44.61,35.33,2.0,26.26,,,2021-03-22,35.11,stop,5,-1.024,-47098.72,383.79
COALINDIA,2021-03-01,99.19,86.18,2.0,15.1,,,2021-03-30,86.43,stop,4,-0.98,-42523.79,602.98
STARCEMENT,2021-01-04,102.82,88.34,2.0,16.4,,,2021-04-05,97.31,time,13,-0.38,-18822.83,607.01
INGERRAND,2021-01-11,682.83,559.89,2.0,21.96,,,2021-04-12,658.15,time,13,-0.201,-10744.12,490.49
INFIBEAM,2021-03-30,23.82,20.25,2.0,17.65,,,2021-04-26,20.25,stop,4,-1.0,-39916.06,481.43
CENTRALBK,2021-02-22,19.42,13.35,2.0,45.49,,,2021-05-24,18.02,time,13,-0.23,-10447.6,267.05
TCNSBRANDS,2021-02-22,508.0,396.4,2.0,28.15,,,2021-05-24,559.0,time,13,0.457,18340.62,414.03
CCL,2021-03-08,245.19,220.09,2.0,11.4,2021-05-10,308.11,2021-06-07,350.15,time,13,3.091,138381.18,972.97
ITC,2021-03-22,170.88,154.28,2.0,10.76,,,2021-06-21,159.92,time,13,-0.66,-28063.76,803.08
IRCON,2021-04-05,37.79,33.85,2.0,11.66,,,2021-07-05,40.9,time,13,0.787,29905.13,793.5
IDEA,2021-06-21,10.4,9.05,2.0,14.92,,,2021-07-05,8.8,stop,2,-1.185,-52616.95,618.05
GUJALKALI,2021-04-12,373.68,305.62,2.0,22.27,,,2021-07-12,399.85,time,13,0.385,13696.05,451.43
AUROPHARMA,2021-07-05,977.38,924.37,2.0,5.73,,,2021-07-12,928.16,stop,1,-0.929,-42662.95,1543.98
ASTRAZEN,2021-04-26,4258.17,3406.28,2.0,25.01,,,2021-07-26,3464.73,time,13,-0.931,-36990.57,353.85
IFBIND,2021-07-12,1074.0,1011.0,2.0,6.23,,,2021-08-02,1002.05,stop,3,-1.142,-54926.51,1402.72
BSE,2021-05-10,74.1,61.97,2.0,19.56,2021-07-05,101.19,2021-08-09,130.32,time,13,3.319,137366.38,636.17
BOSCHLTD,2021-05-24,14316.59,12774.02,2.0,12.08,,,2021-08-23,12896.18,time,13,-0.921,-40667.63,753.16
CREDITACC,2021-06-07,742.81,617.11,2.0,20.37,,,2021-09-06,685.07,time,13,-0.459,-22044.33,501.7
AUBANK,2021-07-12,592.51,508.33,2.0,16.56,,,2021-10-11,607.96,time,13,0.184,6718.85,607.05
CSBBANK,2021-07-26,350.0,274.4,2.0,27.55,,,2021-10-25,309.9,time,13,-0.53,-23751.27,369.57
CANBK,2021-08-02,26.19,24.05,2.0,8.87,2021-10-18,33.14,2021-11-01,36.39,time,13,3.393,166829.73,1200.26
CHOLAFIN,2021-08-09,522.66,465.82,2.0,12.2,,,2021-11-08,609.53,time,13,1.528,62687.71,836.64
ASTERDM,2021-08-23,148.78,121.22,2.0,22.74,,,2021-11-22,149.8,time,13,0.037,704.69,436.42
SANOFI,2021-08-30,7011.69,5628.94,2.0,24.57,,,2021-11-29,6501.17,time,13,-0.369,-16435.85,398.15
ZEEL,2021-09-20,242.11,174.64,2.0,38.64,,,2021-12-20,325.44,time,13,1.235,51442.47,354.72
BOSCHLTD,2021-10-11,16661.93,14401.99,2.0,15.69,,,2022-01-10,16085.11,time,13,-0.255,-12271.96,632.11
UNIONBANK,2021-10-18,39.12,32.47,2.0,20.48,,,2022-01-17,39.17,time,13,0.006,-668.07,535.14
IRCON,2021-10-25,46.64,39.46,2.0,18.21,,,2022-01-24,41.44,time,13,-0.723,-34735.01,555.81
ASAHIINDIA,2021-11-01,434.7,341.17,2.0,27.41,,,2022-01-31,573.15,time,13,1.48,64810.01,484.14
AMBER,2021-11-08,3540.0,3100.0,2.0,14.19,,,2022-02-07,3657.7,time,13,0.267,9632.28,749.45
BALAMINES,2021-11-24,3194.27,2835.72,2.0,12.64,,,2022-02-21,2924.72,time,13,-0.752,-36939.95,776.85
ELGIEQUIP,2021-11-29,261.51,205.26,2.0,27.4,2022-02-07,413.48,2022-02-28,323.43,trail,13,1.55,82369.93,495.41
ALOKINDS,2022-01-10,26.85,24.1,2.0,11.41,,,2022-02-28,23.5,stop,7,-1.218,-59891.36,876.45
CHOLAFIN,2022-01-24,654.13,581.78,2.0,12.44,,,2022-04-25,704.97,time,13,0.703,33378.86,937.28
MASTEK,2022-02-28,2671.43,2409.59,2.0,10.87,2022-04-04,3256.07,2022-04-25,2836.4,trail,8,1.315,62530.3,1007.69
AXISBANK,2022-01-31,772.23,685.34,2.0,12.68,,,2022-05-02,719.0,time,13,-0.613,-30605.91,816.29
AMBER,2022-02-07,3657.7,3153.6,2.0,15.98,,,2022-05-09,3725.05,time,13,0.134,4207.97,748.4
AFFLE,2022-02-21,1175.1,1069.95,2.0,9.83,,,2022-05-16,1045.0,stop,12,-1.237,-61269.5,1014.38
DCMSHRIRAM,2022-04-04,1156.67,994.46,2.0,16.31,,,2022-05-16,953.1,stop,6,-1.255,-64704.83,647.12
ALOKINDS,2022-05-02,25.6,23.4,2.0,9.4,,,2022-05-16,22.55,stop,2,-1.386,-69368.48,1064.85
BLUEDART,2022-05-16,6954.47,6512.48,2.0,6.79,,,2022-06-20,6448.48,stop,5,-1.145,-55624.19,1316.49
BANDHANBNK,2022-05-16,316.73,292.11,2.0,8.43,,,2022-06-27,282.63,stop,6,-1.385,-62028.01,1056.93
ACC,2022-04-25,2212.4,1987.97,2.0,11.29,,,2022-07-25,2160.23,time,13,-0.232,-12999.3,946.77
ABB,2022-05-09,2209.51,1960.61,2.0,12.69,,,2022-08-08,2641.88,time,13,1.737,77903.37,892.14
ASAHIINDIA,2022-06-20,458.32,416.32,2.0,10.09,2022-07-11,567.02,2022-08-16,545.43,trail,8,2.037,92461.58,999.05
VIPIND,2022-06-21,596.45,500.61,2.0,19.14,,,2022-09-19,644.96,time,13,0.506,18301.03,514.39
ATGL,2022-06-27,2298.58,1945.15,2.0,18.17,2022-08-01,3139.69,2022-09-26,3495.21,time,13,2.693,122152.54,680.06
CANBK,2022-07-11,36.59,32.42,2.0,12.88,,,2022-10-10,39.55,time,13,0.709,30710.16,828.87
ACC,2022-09-19,2577.86,2299.1,2.0,12.12,,,2022-10-17,2192.75,stop,4,-1.381,-75274.61,912.14
ANGELONE,2022-07-25,134.65,116.82,2.0,15.27,,,2022-10-24,151.39,time,13,0.939,43519.0,767.38
DEVYANI,2022-08-01,179.0,154.45,2.0,15.9,,,2022-10-31,193.0,time,13,0.57,24574.58,719.94
GRINDWELL,2022-08-08,1965.77,1701.8,2.0,15.51,,,2022-11-07,2076.48,time,13,0.419,17248.24,722.03
MAZDOCK,2022-08-16,150.45,132.09,2.0,13.9,2022-09-05,191.52,2022-11-14,382.62,time,13,7.321,352266.47,1140.96
GNFC,2022-10-17,632.34,575.44,2.0,9.89,,,2022-11-14,544.15,stop,4,-1.55,-84042.38,1094.83
AFFLE,2022-11-14,1266.85,1145.0,2.0,10.64,,,2022-12-19,1090.0,stop,5,-1.451,-82917.06,1055.78
GSFC,2022-12-19,134.03,120.21,2.0,11.49,,,2022-12-26,111.35,stop,1,-1.641,-94316.35,1000.97
BHARATFORG,2022-10-10,747.06,667.86,2.0,11.86,,,2023-01-09,857.12,time,13,1.39,72786.46,1089.46
SUZLON,2022-10-24,8.85,6.75,2.0,31.11,,,2023-01-23,10.05,time,13,0.571,29893.14,484.55
NH,2022-11-01,788.55,693.71,2.0,13.67,,,2023-01-30,718.12,time,13,-0.743,-43171.5,859.18
ATGL,2023-01-02,3694.93,3095.85,2.0,19.35,,,2023-01-30,2497.57,stop,4,-1.999,-110593.15,566.69
M&MFIN,2022-11-07,205.0,179.47,2.0,14.23,,,2023-02-06,237.48,time,13,1.272,68983.74,963.48
SWANENERGY,2022-11-14,246.2,211.6,2.0,16.35,2023-01-16,327.1,2023-02-06,272.5,trail,12,1.38,81154.74,861.35
HDFCLIFE,2023-01-09,607.1,554.0,2.0,9.59,,,2023-02-06,480.71,stop,4,-2.38,-129998.73,1101.75
360ONE,2023-02-06,450.65,402.2,2.0,12.04,,,2023-03-20,401.73,stop,6,-1.01,-52332.74,859.49
APLAPOLLO,2023-01-23,1187.5,1073.88,2.0,10.58,,,2023-04-24,1217.44,time,13,0.263,10444.31,1167.06
BAJAJ-AUTO,2023-01-30,3647.16,3305.59,2.0,10.33,,,2023-05-02,4109.95,time,13,1.355,68057.93,1176.25
