tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
FINEORG,2020-03-16,2149.84,1704.26,2.0,26.14,,,2020-06-15,1944.34,time,13,-0.461,-9994.74,180.11
DIVISLAB,2020-03-23,1794.52,1582.18,2.0,13.42,2020-04-13,2313.54,2020-06-22,2265.04,time,13,2.108,39671.81,332.39
AJANTPHARM,2020-03-30,762.17,601.85,2.0,26.64,,,2020-06-29,905.59,time,13,0.895,14520.25,176.02
ASTRAZEN,2020-04-07,2487.41,2037.21,2.0,22.1,2020-07-06,3487.2,2020-07-13,3396.22,time,14,2.009,35505.64,225.5
AARTIIND,2020-04-13,449.83,393.79,2.0,14.23,,,2020-07-13,466.06,time,13,0.289,4546.34,319.86
AMBER,2020-04-20,1169.0,920.9,2.0,26.94,,,2020-07-20,1462.9,time,13,1.185,23122.74,213.77
ISEC,2020-05-07,368.95,312.05,2.0,18.23,2020-07-06,492.0,2020-08-03,460.0,trail,13,1.8,38885.76,315.65
POLYMED,2020-05-18,276.58,214.37,2.0,29.02,2020-08-10,406.52,2020-08-17,397.22,time,13,1.97,40437.76,225.43
GUJGASLTD,2020-06-08,276.55,232.69,2.0,18.85,,,2020-09-07,292.76,time,13,0.37,6943.94,278.03
GRSE,2020-06-22,183.52,160.41,2.0,14.41,,,2020-09-21,167.2,time,13,-0.706,-16601.51,331.78
GALAXYSURF,2020-07-06,1547.77,1371.07,2.0,12.89,2020-09-21,1920.68,2020-10-05,1814.13,time,13,1.754,38810.57,441.84
LALPATHLAB,2020-07-13,868.59,780.05,2.0,11.35,,,2020-10-12,976.26,time,13,1.216,26309.02,479.52
ERIS,2020-09-21,523.76,480.27,2.0,9.06,,,2020-10-19,480.56,stop,4,-0.993,-25826.42,555.22
ALKEM,2020-08-03,2541.33,2273.17,2.0,11.8,,,2020-11-02,2481.99,time,13,-0.221,-6513.85,425.37
NH,2020-08-20,344.74,299.86,2.0,14.97,,,2020-11-17,357.17,time,13,0.277,5336.77,375.51
INDOCO,2020-09-21,269.46,217.79,2.0,23.73,,,2020-12-21,266.53,time,13,-0.057,-2240.64,249.39
IDBI,2020-10-19,36.34,31.56,2.0,15.14,,,2020-12-28,30.62,stop,10,-1.198,-28337.93,318.36
GRSE,2020-10-05,201.24,158.22,2.0,27.19,,,2021-01-04,185.98,time,13,-0.355,-9054.76,211.1
HINDZINC,2020-10-19,128.13,117.31,2.0,9.22,2020-12-01,151.59,2021-01-18,181.25,time,13,3.454,78240.07,618.54
