tkr,entry_date,entry,stop0,rank,half_date,half_px,exit_date,exit_px,reason,held_weeks,R
M&MFIN,2022-11-07,205.0,179.47,0.1256,,,2023-02-06,237.48,time,13,1.272
SWANENERGY,2022-11-14,246.2,211.6,0.0161,2023-01-16,327.1,2023-02-06,272.5,trail,12,1.38
SIEMENS,2022-12-14,1734.45,1587.65,0.0489,,,2023-03-13,1933.62,time,13,1.357
RITES,2023-01-02,152.77,136.87,0.1138,,,2023-04-03,161.66,time,13,0.559
TVSMOTOR,2023-01-30,1033.81,952.7,0.0971,,,2023-05-02,1135.28,time,13,1.251
ITC,2023-02-06,315.93,271.82,0.1679,,,2023-05-08,361.82,time,13,1.041
MAXHEALTH,2023-03-13,457.97,422.08,0.1147,2023-05-22,547.41,2023-06-12,569.31,time,13,2.551
CSBBANK,2023-03-31,253.05,218.55,0.0916,,,2023-07-03,288.0,time,13,1.013
IIFL,2023-04-03,478.29,410.33,0.2154,,,2023-07-03,494.17,time,13,0.234
RITES,2023-05-02,176.52,157.06,0.1391,,,2023-07-31,204.22,time,13,1.423
KEC,2023-05-08,506.97,453.81,0.1314,2023-07-31,627.81,2023-08-07,659.56,time,13,2.435
RAMCOCEM,2023-05-22,836.01,753.2,0.1375,,,2023-08-21,847.96,time,13,0.144
SHOPERSTOP,2023-07-31,792.8,725.25,0.046,,,2023-08-28,713.0,stop,4,-1.181
KALYANKJIL,2023-06-19,132.92,108.12,0.1377,2023-08-14,201.26,2023-09-18,229.81,time,13,2.954
IIFL,2023-07-03,494.17,460.68,0.0543,2023-07-31,563.21,2023-10-03,590.24,time,13,2.434
IOB,2023-08-14,30.55,25.7,0.1197,2023-09-25,44.4,2023-10-23,40.45,trail,10,2.021
GODFRYPHLP,2023-08-02,663.76,519.7,0.0717,,,2023-10-30,702.93,time,13,0.272
JUBLPHARMA,2023-08-14,443.47,368.57,0.2092,,,2023-11-13,410.35,time,13,-0.442
JMFINANCIL,2023-08-21,77.52,67.45,0.1223,,,2023-11-20,78.36,time,13,0.083
SWANENERGY,2023-08-28,305.0,270.0,0.1056,2023-11-06,388.0,2023-11-28,423.95,time,13,2.699
BBTC,2023-09-14,1254.26,960.39,0.2306,,,2023-12-11,1353.51,time,13,0.338
MAXHEALTH,2023-10-03,567.31,529.52,0.0522,2023-12-04,656.6,2024-01-01,687.02,time,13,2.584
SONACOMS,2023-10-30,544.8,479.65,0.052,,,2024-01-29,579.79,time,13,0.537
HINDPETRO,2023-11-13,181.64,156.95,0.1281,2023-12-18,234.41,2024-02-12,316.82,time,13,3.738
FINPIPE,2023-11-20,208.68,185.36,0.0665,,,2024-02-19,223.41,time,13,0.632
FINCABLES,2023-12-05,1012.66,914.7,0.033,,,2024-03-04,946.61,stop,13,-0.674
TANLA,2023-12-18,1032.8,860.11,0.0759,,,2024-03-18,814.42,stop,13,-1.265
BORORENEW,2024-03-04,568.4,510.2,0.0747,,,2024-03-18,495.1,stop,2,-1.259
KPIL,2024-01-01,694.11,622.02,0.0539,2024-02-12,866.28,2024-04-01,1063.39,time,13,3.561
CGPOWER,2024-01-29,466.68,411.37,0.0478,,,2024-04-29,560.99,time,13,1.705
TRITURBINE,2024-02-12,459.2,343.91,0.0565,,,2024-05-13,547.05,time,13,0.762
MFSL,2024-02-12,985.5,861.75,0.0379,,,2024-05-13,977.85,time,13,-0.062
GLENMARK,2024-02-19,871.61,768.01,0.0249,,,2024-05-21,1043.84,time,13,1.663
JYOTHYLAB,2024-05-13,458.87,404.74,0.0315,,,2024-06-03,410.68,stop,3,-0.89
BLS,2024-03-18,353.78,260.07,0.1462,,,2024-06-18,348.54,time,13,-0.056
LINDEINDIA,2024-03-18,6427.45,5560.31,0.0638,2024-04-29,8346.92,2024-06-18,9256.97,time,13,2.632
LATENTVIEW,2024-04-01,511.85,452.3,0.0583,,,2024-07-01,501.3,time,13,-0.177
TEJASNET,2024-04-29,1036.28,772.22,0.1595,,,2024-07-29,1304.11,time,13,1.014
GLAXO,2024-04-29,2022.49,1771.69,0.113,2024-06-18,2583.44,2024-07-29,2620.67,time,13,2.193
