ticker,week_end,entry,base_hi,base_lo,stop_pct,base_range_pct,sma30,sma44,ext_vs_30w_pct,ext_vs_44w_pct,mansfield,vol_x,year,is_member,adv20,liquid,band
CASTROLIND,2023-07-28,127.65716552734375,119.21307304027785,90.3528645530648,29.22,31.94,101.62876790364584,102.46627443486994,25.61,24.58,15.52,2.91,2023,True,247434736.92105445,True,20-25%
CCL,2024-09-06,751.1229248046875,729.2695980009142,545.4441766758415,27.38,33.7,608.9986022949219,615.8365006880326,23.34,21.97,7.58,7.58,2024,True,611933898.8134705,True,20-25%
CENTURYPLY,2024-09-20,894.4664916992188,826.7184691883745,620.5376334920089,30.62,33.23,701.1586120605468,715.2326035933061,27.57,25.06,9.88,7.18,2024,True,442068226.0221863,True,>25%
CERA,2020-11-14,3003.6953125,2733.7518119242336,2050.3138411796144,31.74,33.33,2290.8882364908854,2313.8604930530896,31.11,29.81,10.34,2.67,2020,True,38383066.4460083,False,>25%
CESC,2023-08-04,71.68555450439453,71.27618491530437,56.49331099044438,21.19,26.17,64.38539454142253,64.74889668551359,11.34,10.71,1.52,2.77,2023,True,293670680.56331635,True,10-15%
CHAMBLFERT,2019-05-31,159.5397186279297,153.09582715778683,114.76920621703296,28.06,33.39,134.11922276814778,131.5944033536044,18.95,21.24,12.91,2.08,2019,True,74894424.7114212,True,20-25%
CHEMPLASTS,2024-06-14,621.5,527.7999877929688,413.45001220703125,33.48,27.66,481.55333557128904,480.5715921575373,29.06,29.33,16.5,19.1,2024,True,438885021.5604156,True,>25%
CHOLAHLDNG,2020-01-17,535.8159790039062,519.5912483198784,419.0573007454738,21.79,23.99,476.22218322753906,482.24327850341797,12.51,11.11,4.52,2.37,2020,True,90906915.941008,True,10-15%
CIEINDIA,2024-05-24,532.9866333007812,488.771302312605,391.01702746268217,26.64,25.0,461.3193644205729,462.68886011297053,15.54,15.19,2.34,3.88,2024,True,381120561.20410764,True,15-20%
CIEINDIA,2026-02-20,462.69793701171875,457.37449023388933,375.6987205418633,18.8,21.74,409.7853200276693,415.48018923672765,12.91,11.36,9.62,3.57,2026,False,134531134.0341095,True,10-15%
CIPLA,2022-03-11,1001.6822509765625,964.3092972069802,815.5849778305869,18.58,18.24,889.0051900227865,892.2489069158381,12.67,12.26,12.44,2.42,2022,True,3113620183.0947447,True,10-15%
CLEAN,2024-08-02,1634.6259765625,1555.361702587209,1231.5675615052094,24.66,26.29,1388.0092610677084,1393.449579412287,17.77,17.31,1.97,4.54,2024,True,490316274.69794923,True,15-20%
COCHINSHIP,2022-09-02,178.4083251953125,173.493690315702,132.03676813542583,25.99,31.4,151.79392649332684,154.4391888705167,17.53,15.52,11.89,8.6,2022,True,205236985.4104584,True,15-20%
COHANCE,2023-08-18,520.5,510.95001220703125,463.29998779296875,10.99,10.28,481.5350006103516,476.18749930641866,8.09,9.31,3.54,5.97,2023,False,353061379.6455765,True,5-10%
COLPAL,2018-05-18,1013.5201416015625,968.8423838143236,839.6828393971916,17.15,15.38,895.5376220703125,894.3918637362393,13.17,13.32,9.33,2.27,2018,True,348870822.4603119,True,10-15%
COLPAL,2019-09-20,1192.1683349609375,1102.6354767944326,934.7412666559378,21.59,17.96,1022.6789265950521,1039.4095139936967,16.57,14.7,14.84,2.6,2019,True,588832684.0463989,True,10-15%
COLPAL,2022-09-02,1532.801513671875,1509.6419896911138,1253.2195110752948,18.24,20.46,1408.8102416992188,1380.6483931107955,8.8,11.02,7.13,2.61,2022,True,575198209.7727845,True,10-15%
COLPAL,2023-07-07,1656.81298828125,1597.6846202758265,1327.0441358767412,19.9,20.39,1440.8115600585938,1449.428622159091,14.99,14.31,5.44,2.01,2023,True,685117812.8617675,True,10-15%
CONCOR,2019-09-27,547.0170288085938,531.3806280149373,421.9129651897013,22.87,25.95,475.28221130371094,475.20347942005503,15.09,15.11,11.64,4.49,2019,True,763393044.9456803,True,15-20%
CONCOR,2022-09-09,713.84423828125,694.5601338319566,524.2320530143638,26.56,32.49,617.1838500976562,612.2619670521129,15.66,16.59,11.16,6.01,2022,True,2009450603.0770843,True,15-20%
COROMANDEL,2022-04-29,864.8524780273438,839.0388583651967,680.5915387874029,21.31,23.28,764.349853515625,777.4287275834517,13.15,11.25,9.22,2.84,2022,True,534213096.9564392,True,10-15%
CROMPTON,2024-05-17,385.71710205078125,339.7538896464038,257.1283109758702,33.34,32.13,294.6239542643229,294.5556557395241,30.92,30.95,20.83,3.08,2024,True,2426479080.3736587,True,>25%
DABUR,2024-06-07,598.1558837890625,564.789626210431,477.27597757943425,20.21,18.34,525.2897420247396,527.8433928056197,13.87,13.32,0.17,3.55,2024,True,2952913795.21593,True,10-15%
DCMSHRIRAM,2024-08-09,1120.6898193359375,1084.6260961371186,819.2764913021629,26.9,32.39,967.0967346191406,964.1648004705256,15.88,16.23,2.57,5.68,2024,True,160443511.82491454,True,15-20%
DHANUKA,2023-06-09,779.3844604492188,734.0135091656006,596.1765602930719,23.51,23.12,670.4417338053386,676.1915075128728,16.25,15.26,9.01,10.1,2023,False,60963914.04066773,True,15-20%
