tkr,sig_date,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held,R,net_pnl,stt_paid
DCMSHRIRAM,2019-04-30,2019-05-02,436.41,356.48,2.0,22.42,,,2019-06-20,451.75,ma_breach,34,0.192,2270.63,189.81
LINDEINDIA,2019-05-13,2019-05-14,511.06,469.19,2.0,8.92,,,2019-06-20,488.13,ma_breach,26,-0.548,-11305.13,386.59
BLUESTARCO,2019-05-06,2019-05-08,347.6,312.02,2.0,11.4,,,2019-07-09,354.3,ma_breach,43,0.188,1979.34,327.72
FEDERALBNK,2019-05-06,2019-05-08,93.4,86.7,2.0,7.72,,,2019-07-22,94.44,ma_breach,52,0.156,1754.34,466.37
VBL,2019-06-24,2019-06-26,54.64,45.88,2.0,19.09,,,2019-07-24,45.88,stop,20,-1.0,-17636.05,194.62
JUSTDIAL,2019-05-20,2019-05-22,703.0,541.96,2.0,29.71,,,2019-07-25,708.65,ma_breach,45,0.035,340.61,154.65
INDIGO,2019-07-22,2019-07-23,1506.73,1286.35,2.0,17.13,,,2019-08-02,1547.63,ma_breach,8,0.186,2750.43,237.28
HONAUT,2019-07-29,2019-07-30,23137.67,21639.7,2.0,6.92,,,2019-08-05,22680.1,ma_breach,4,-0.305,-8430.97,517.66
FLFL,2019-08-13,2019-08-14,456.4,398.3,2.0,14.59,,,2019-08-21,445.1,ma_breach,4,-0.194,-4883.54,259.28
DCBBANK,2019-08-19,2019-08-21,201.84,183.11,2.0,10.22,,,2019-08-22,183.11,stop,1,-1.0,-18248.53,350.02
BHARTIARTL,2019-08-05,2019-08-06,339.3,306.69,2.0,10.64,,,2019-08-30,329.79,ma_breach,16,-0.292,-5510.73,344.09
BRIGADE,2019-06-24,2019-06-25,122.53,114.15,2.0,7.34,2019-08-19,139.28621657491678,2019-09-26,145.56,time,63,2.374,37112.07,539.51
GSPL,2019-07-15,2019-07-16,204.75,179.97,2.0,13.77,,,2019-10-07,207.25,ma_breach,54,0.101,223.96,291.62
GUJGASLTD,2019-08-05,2019-08-06,173.48,146.36,2.0,18.53,,,2019-10-07,167.93,ma_breach,39,-0.204,-4168.95,211.14
ADANIENSOL,2019-08-26,2019-08-27,231.9,211.49,2.0,9.65,,,2019-10-15,235.0,ma_breach,31,0.152,127.74,376.19
ADANIPORTS,2019-10-14,2019-10-15,392.23,373.12,2.0,5.12,,,2019-11-01,373.12,stop,12,-1.0,-17949.83,670.46
ABFRL,2019-11-04,2019-11-05,211.78,200.88,2.0,5.42,,,2019-11-06,200.88,stop,1,-1.0,-19600.09,644.37
ELGIEQUIP,2019-09-30,2019-10-01,148.38,125.39,2.0,18.34,,,2019-11-15,125.35,ma_breach,29,-1.002,-18499.15,204.51
ABB,2019-09-23,2019-09-24,1381.35,1157.55,2.0,19.33,,,2019-11-25,1236.26,ma_breach,40,-0.648,-11991.77,203.5
BPCL,2019-09-03,2019-09-04,114.6,102.86,2.0,11.42,2019-09-20,138.0875778879768,2019-11-27,158.47,trail,55,2.868,46601.07,368.93
ALKEM,2019-11-04,2019-11-06,1906.01,1786.71,2.0,6.68,,,2019-12-26,1868.77,ma_breach,34,-0.312,-7090.16,530.45
NAUKRI,2019-10-07,2019-10-09,454.86,390.65,2.0,16.44,,,2020-01-09,501.06,ma_breach,63,0.719,11588.23,249.07
TRIDENT,2019-12-16,2019-12-17,7.31,5.6,2.0,30.43,,,2020-01-09,5.77,ma_breach,16,-0.904,-15285.43,125.97
ABB,2020-01-13,2020-01-14,1362.41,1234.41,2.0,10.37,,,2020-01-21,1250.19,ma_breach,5,-0.877,-15912.54,342.53
GODFRYPHLP,2019-08-19,2019-08-20,306.83,223.59,2.0,37.23,,,2020-02-03,334.19,ma_breach,112,0.329,5146.52,131.37
JINDALSTEL,2019-12-23,2019-12-26,157.72,130.03,2.0,21.3,,,2020-02-27,167.63,ma_breach,44,0.358,5430.6,189.49
JSL,2019-11-25,2019-11-26,39.33,34.58,2.0,13.75,,,2020-03-02,39.82,ma_breach,67,0.103,-24.61,277.1
SWANENERGY,2020-02-10,2020-02-11,149.9,109.14,2.0,37.35,,,2020-03-05,118.6,ma_breach,16,-0.768,-14115.9,115.82
AARTIIND,2019-12-30,2019-12-31,414.3,374.47,2.0,10.64,2020-02-10,493.9619956251229,2020-03-09,463.02,trail,48,1.612,24768.97,362.12
CANFINHOME,2020-01-20,2020-01-22,447.68,349.98,2.0,27.91,,,2020-03-12,349.98,stop,34,-1.0,-17306.76,137.38
ABFRL,2020-02-10,2020-02-11,260.18,220.77,2.0,17.85,,,2020-03-12,220.77,stop,20,-1.0,-18333.66,214.61
FINPIPE,2020-03-09,2020-03-11,103.93,96.16,2.0,8.08,,,2020-03-12,96.16,stop,1,-1.0,-18859.36,417.95
BHARTIARTL,2019-11-18,2019-11-19,408.08,334.52,2.0,21.99,,,2020-03-13,433.79,ma_breach,80,0.35,5560.91,193.46
AJANTPHARM,2020-01-20,2020-01-21,753.4,646.29,2.0,16.57,,,2020-03-18,795.36,ma_breach,39,0.392,5727.01,242.75
ADANIGREEN,2020-03-23,2020-03-25,142.4,111.79,2.0,27.38,,,2020-03-31,147.3,ma_breach,4,0.16,1907.77,142.22
AKZOINDIA,2020-03-30,2020-03-31,2188.0,1748.25,2.0,25.15,,,2020-04-08,2084.95,ma_breach,4,-0.234,-4065.89,147.23
BERGEPAINT,2020-03-30,2020-03-31,405.88,320.39,2.0,26.68,,,2020-04-08,389.64,ma_breach,4,-0.19,-3131.73,140.99
DIXON,2020-03-30,2020-03-31,698.28,596.22,2.0,17.12,,,2020-04-08,754.36,ma_breach,4,0.549,7570.74,215.66
DMART,2020-03-30,2020-03-31,2180.0,1727.57,2.0,26.19,,,2020-04-08,2222.0,ma_breach,4,0.093,1141.2,147.42
SRF,2020-04-13,2020-04-15,674.96,529.03,2.0,27.59,,,2020-04-21,642.84,ma_breach,4,-0.22,-3937.82,150.44
AJANTPHARM,2020-03-30,2020-03-31,818.54,601.25,2.0,36.14,,,2020-04-23,815.41,ma_breach,13,-0.014,-617.12,113.93
BERGEPAINT,2020-04-20,2020-04-22,431.86,377.17,2.0,14.5,,,2020-05-05,377.17,stop,8,-1.0,-17450.35,251.42
HINDUNILVR,2020-03-23,2020-03-25,1867.79,1570.39,2.0,18.94,,,2020-05-06,1833.75,ma_breach,25,-0.114,-2056.67,187.05
DRREDDY,2020-03-30,2020-03-31,590.53,515.62,2.0,14.53,2020-04-13,740.3403602181631,2020-05-18,701.97,trail,29,1.744,25944.88,265.32
NAUKRI,2020-05-04,2020-05-05,505.07,448.15,2.0,12.7,,,2020-05-18,448.15,stop,9,-1.0,-17552.81,285.34
INDOCO,2020-04-07,2020-04-08,242.36,166.23,2.0,45.79,,,2020-05-21,210.3,ma_breach,28,-0.421,-7199.74,94.59
AMBER,2020-05-18,2020-05-20,1180.0,1057.24,2.0,11.61,2020-06-02,1425.5165024414064,2020-06-12,1278.15,trail,16,1.4,21119.51,328.1
ATUL,2020-06-01,2020-06-02,4693.73,4129.69,2.0,13.66,,,2020-06-16,4459.78,ma_breach,10,-0.415,-8237.54,283.48
AARTIIND,2020-06-22,2020-06-23,480.81,417.61,2.0,15.13,,,2020-06-29,464.34,ma_breach,4,-0.261,-5234.63,272.28
DIVISLAB,2020-03-30,2020-03-31,1920.67,1672.17,2.0,14.86,2020-06-01,2417.6726575716684,2020-06-30,2212.2,trail,59,1.587,23574.42,258.26
ALKYLAMINE,2020-04-07,2020-04-08,483.37,430.35,2.0,12.32,2020-04-17,589.4051565871054,2020-07-10,939.01,time,63,5.297,82273.39,374.29
BIOCON,2020-04-07,2020-04-08,319.15,265.13,2.0,20.37,2020-07-13,427.1861943876106,2020-07-13,410.67,time,64,1.847,28989.79,217.34
ISEC,2020-05-04,2020-05-06,373.05,311.74,2.0,19.67,2020-06-23,495.6741,2020-07-27,488.65,trail,57,1.943,31881.68,237.62
ASTRAZEN,2020-04-07,2020-04-08,2659.8,2035.17,2.0,30.69,,,2020-07-31,3284.75,ma_breach,78,1.001,15384.98,151.38
GRSE,2020-06-15,2020-06-16,174.24,136.34,2.0,27.79,,,2020-08-04,181.52,ma_breach,35,0.192,2822.13,166.4
CDSL,2020-05-26,2020-05-27,117.02,102.21,2.0,14.49,2020-07-20,146.62954417506495,2020-08-24,179.23,time,63,3.101,50238.53,313.02
AARTIIND,2020-08-03,2020-08-04,504.9,461.66,2.0,9.36,2020-08-21,591.3626203870546,2020-09-01,504.89,trail,20,1.0,17860.96,475.64
JAICORPLTD,2020-06-22,2020-06-24,85.85,67.5,2.0,27.19,,,2020-09-04,83.88,ma_breach,52,-0.107,-2599.43,172.12
BPCL,2020-07-20,2020-07-21,151.32,121.74,2.0,24.3,,,2020-09-08,135.45,ma_breach,35,-0.536,-10878.08,190.47
ERIS,2020-08-03,2020-08-04,528.72,384.91,2.0,37.36,,,2020-09-10,470.51,ma_breach,27,-0.405,-8378.5,135.68
FINEORG,2020-07-13,2020-07-14,2015.48,1850.61,2.0,8.91,2020-08-04,2345.2148307277603,2020-09-22,2611.86,trail,50,2.809,52841.86,530.87
ADANIENSOL,2020-08-24,2020-08-25,288.9,229.87,2.0,25.68,,,2020-09-24,237.2,ma_breach,22,-0.876,-19805.13,194.61
CRISIL,2020-06-29,2020-06-30,1512.92,1333.56,2.0,13.45,,,2020-09-28,1593.06,ma_breach,64,0.447,7104.48,318.56
TATAMOTORS,2020-08-31,2020-09-02,143.07,117.57,2.0,21.69,,,2020-10-15,128.11,ma_breach,30,-0.587,-12298.12,215.96
ICRA,2020-09-28,2020-09-29,2655.56,2532.92,2.0,4.84,,,2020-10-16,2532.92,stop,12,-1.0,-25512.32,852.2
ADVENZYMES,2020-08-03,2020-08-04,205.93,149.48,2.0,37.76,2020-09-30,318.82497886848245,2020-10-26,290.33,trail,58,1.748,33508.56,176.6
INDIACEM,2020-09-14,2020-09-15,124.11,105.87,2.0,17.23,,,2020-10-29,113.9,ma_breach,31,-0.56,-12812.67,276.11
SUDARSCHEM,2020-08-24,2020-08-25,465.94,393.87,2.0,18.3,,,2020-10-30,433.4,ma_breach,47,-0.452,-10814.0,272.51
ENDURANCE,2020-11-02,2020-11-03,1059.42,955.42,2.0,10.89,,,2020-11-09,1045.69,ma_breach,4,-0.132,-4107.63,409.79
BSE,2020-11-09,2020-11-10,52.69,48.57,2.0,8.48,,,2020-11-14,53.21,ma_breach,4,0.127,760.32,533.13
AEGISLOG,2020-11-14,2020-11-17,207.55,188.41,2.0,10.16,2020-12-01,245.83083425021255,2020-12-21,219.72,trail,23,1.318,24832.77,482.0
HINDZINC,2020-10-19,2020-10-20,131.7,117.19,2.0,12.38,2020-12-09,160.7085206864829,2020-12-22,147.78,trail,44,1.554,29768.04,395.05
IRCTC,2020-12-07,2020-12-09,318.42,257.01,2.0,23.89,,,2020-12-22,257.01,stop,9,-1.0,-22717.51,209.35
BLUEDART,2020-09-14,2020-09-15,2938.21,2257.3,2.0,30.16,,,2021-01-19,3819.59,ma_breach,87,1.294,26661.03,210.06
PIDILITIND,2020-10-19,2020-10-20,752.67,714.37,2.0,5.36,2020-12-18,829.2684018891173,2021-01-19,847.53,time,63,2.238,43362.57,832.56
SWSOLAR,2021-01-04,2021-01-05,274.75,222.03,2.0,23.75,,,2021-01-27,238.0,ma_breach,15,-0.697,-16133.65,214.62
WOCKPHARMA,2020-11-23,2020-11-24,400.44,268.95,2.0,48.89,,,2021-02-01,444.14,ma_breach,46,0.332,6414.74,132.99
TASTYBITE,2020-12-21,2020-12-22,12291.37,10981.29,2.0,11.93,,,2021-02-01,11771.93,ma_breach,27,-0.396,-11109.09,398.37
3MINDIA,2021-02-08,2021-02-09,20200.23,17426.43,2.0,15.92,,,2021-02-16,19355.77,ma_breach,5,-0.304,-8217.76,330.71
ITC,2021-01-18,2021-01-19,165.06,150.16,2.0,9.92,,,2021-02-25,160.32,ma_breach,26,-0.318,-7889.73,482.58
SFL,2020-12-01,2020-12-02,794.5,660.51,2.0,20.29,2021-01-21,1062.4723743896484,2021-03-03,1016.9,time,63,1.83,37785.85,294.34
AJANTPHARM,2020-12-28,2020-12-29,1068.07,964.36,2.0,10.75,,,2021-03-05,1102.1,ma_breach,47,0.328,5642.6,463.29
CONCOR,2021-02-01,2021-02-02,428.77,377.36,2.0,13.62,2021-02-12,531.6004837321241,2021-03-17,504.48,trail,30,1.736,37378.5,404.16
ABREL,2021-02-01,2021-02-02,429.39,378.18,2.0,13.54,2021-03-03,531.808318823508,2021-03-18,465.66,trail,31,1.354,28326.22,397.78
GREAVESCOT,2021-02-15,2021-02-16,91.79,82.49,2.0,11.27,2021-02-17,110.38738106845106,2021-03-18,121.81,trail,21,2.614,58491.77,515.56
CCL,2021-03-08,2021-03-09,254.4,219.87,2.0,15.71,,,2021-03-22,234.2,ma_breach,8,-0.585,-16329.9,364.09
SHOPERSTOP,2021-03-08,2021-03-09,265.55,206.49,2.0,28.6,,,2021-03-25,206.49,stop,11,-1.0,-26453.39,205.69
CRISIL,2021-03-22,2021-03-23,1820.14,1725.23,2.0,5.5,,,2021-03-31,1751.86,ma_breach,5,-0.719,-21288.41,901.39
INFIBEAM,2021-03-30,2021-03-31,24.0,20.23,2.0,18.64,,,2021-04-09,22.4,ma_breach,6,-0.424,-10621.51,292.74
ABFRL,2021-03-01,2021-03-03,209.8,164.54,2.0,27.51,,,2021-04-15,175.0,ma_breach,27,-0.769,-19595.92,212.45
BHEL,2021-03-01,2021-03-03,51.51,36.13,2.0,42.57,,,2021-04-16,45.79,ma_breach,28,-0.372,-9584.13,158.09
AIAENG,2021-03-30,2021-03-31,1933.54,1806.79,2.0,7.02,,,2021-04-16,1811.54,ma_breach,10,-0.963,-25356.07,702.8
