tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
ADANIENSOL,2019-03-18,234.75,206.15,2.0,13.87,,,2019-05-20,220.0,stop,9,-0.516,-9488.36,264.04
AIAENG,2019-03-08,1706.99,1578.14,2.0,8.16,,,2019-06-10,1750.5,time,13,0.338,3359.74,461.24
EIHOTEL,2019-05-20,177.28,157.52,2.0,12.54,,,2019-08-05,147.12,stop,11,-1.527,-24741.78,251.79
BLUESTARCO,2019-05-13,353.36,320.46,2.0,10.26,,,2019-08-13,345.78,time,13,-0.23,-4833.26,337.07
BRIGADE,2019-05-13,115.23,106.48,2.0,8.22,2019-07-22,130.4,2019-08-13,131.0,time,13,1.901,25219.7,445.62
APOLLOHOSP,2019-06-10,1371.67,1217.84,2.0,12.63,,,2019-09-09,1469.64,time,13,0.637,9951.04,304.47
VBL,2019-06-24,54.5,45.93,2.0,18.66,,,2019-09-23,53.35,time,13,-0.134,-2879.61,203.92
MANAPPURAM,2019-09-20,109.84,103.06,2.0,6.58,2019-09-30,126.78,2019-12-02,137.52,trail,10,3.041,51323.91,578.77
ADANIGREEN,2019-09-20,50.5,45.0,2.0,12.22,2019-10-07,65.45,2019-12-23,135.1,time,13,8.691,144438.97,444.66
ATUL,2019-09-20,3614.7,3383.09,2.0,6.85,2019-10-22,4120.11,2019-12-23,3895.49,trail,13,1.606,25660.94,533.82
ASTRAL,2019-09-23,681.55,529.27,2.0,28.77,,,2019-12-23,631.7,time,13,-0.327,-5923.63,142.89
ABB,2019-09-30,1350.51,1236.17,2.0,9.25,,,2019-12-23,1224.99,stop,12,-1.098,-20912.81,400.35
ADANIENSOL,2019-10-22,239.0,220.05,2.0,8.61,2019-11-04,277.85,2020-01-20,342.7,time,13,3.736,71248.52,564.29
MFSL,2019-11-11,484.7,404.5,2.0,19.83,,,2020-02-10,482.6,time,13,-0.026,-965.3,243.09
TATACOMM,2019-12-02,408.37,327.28,2.0,24.78,,,2020-03-02,339.33,time,13,-0.851,-19108.79,199.4
BHARATFORG,2019-12-23,472.89,444.46,2.0,6.4,,,2020-03-02,423.22,stop,10,-1.747,-38804.94,678.05
ASAHIINDIA,2020-01-20,244.03,216.59,2.0,12.67,,,2020-03-16,199.98,stop,8,-1.605,-37496.61,355.36
CGCL,2019-12-23,189.45,175.3,2.0,8.07,,,2020-03-23,155.67,stop,13,-2.387,-53193.81,524.76
HONAUT,2020-02-10,33940.04,27162.6,2.0,24.95,,,2020-03-23,22689.96,stop,6,-1.66,-37308.71,184.55
IFCI,2020-07-03,8.15,6.85,2.0,18.98,,,2020-07-20,6.95,stop,2,-0.923,-17150.95,206.71
ADVENZYMES,2020-07-03,163.06,154.48,2.0,5.56,,,2020-07-27,154.36,stop,3,-1.013,-20994.91,657.84
AIAENG,2020-07-03,1613.74,1542.3,2.0,4.63,2020-08-31,1772.42,2020-10-05,1778.24,time,13,2.151,36901.36,844.33
BPCL,2020-07-20,149.15,121.86,2.0,22.4,,,2020-10-05,119.49,stop,11,-1.087,-18928.01,168.68
AMBUJACEM,2020-07-27,184.73,174.5,2.0,5.86,2020-10-12,213.53,2020-10-26,223.13,time,13,2.877,55459.35,679.97
AEGISLOG,2020-08-31,206.05,178.23,2.0,15.61,,,2020-12-01,245.22,time,13,1.408,24653.3,295.95
CREDITACC,2020-08-31,697.42,575.44,2.0,21.2,,,2020-12-01,792.66,time,13,0.781,13465.84,222.87
APOLLOTYRE,2020-10-26,139.08,119.16,2.0,16.71,2020-12-14,179.6,2020-12-28,164.71,trail,9,1.644,29416.5,281.51
ASTRAL,2020-10-05,673.78,613.28,2.0,9.87,2020-12-01,818.92,2021-01-04,980.85,time,13,3.538,66047.13,471.16
GRSE,2020-10-05,201.24,158.22,2.0,27.19,,,2021-01-04,185.98,time,13,-0.355,-6994.6,163.07
AUBANK,2020-10-12,370.67,331.34,2.0,11.87,2020-12-14,452.74,2021-01-11,448.18,time,13,1.985,35386.57,377.78
CHENNPETRO,2020-12-14,92.36,79.4,2.0,16.32,,,2021-02-01,81.06,stop,7,-0.872,-20007.12,291.41
GREAVESCOT,2021-01-11,93.92,86.84,2.0,8.16,,,2021-02-01,83.73,stop,3,-1.438,-35179.83,578.18
REPCOHOME,2020-11-18,233.78,165.91,2.0,40.91,,,2021-02-15,254.33,time,13,0.303,5645.98,146.26
AAVAS,2020-12-01,1615.0,1494.15,2.0,8.09,2021-01-11,1940.0,2021-03-01,2288.0,time,13,3.784,83537.92,641.04
CARERATING,2020-12-01,447.44,378.27,2.0,18.29,,,2021-03-01,417.73,time,13,-0.43,-9832.29,259.84
ABREL,2021-02-01,412.74,378.56,2.0,9.03,2021-03-08,509.28,2021-03-22,465.99,trail,7,1.779,43801.31,549.74
ASHOKA,2020-12-28,94.05,76.2,2.0,23.43,,,2021-03-30,95.5,time,13,0.081,948.47,228.56
STARCEMENT,2021-01-04,102.82,88.34,2.0,16.4,,,2021-04-05,97.31,time,13,-0.38,-9467.7,305.32
CONCOR,2021-02-02,427.41,377.74,2.0,13.15,2021-02-22,533.24,2021-04-26,520.11,trail,12,1.933,42549.26,416.18
3MINDIA,2021-03-01,21529.63,19384.98,2.0,11.06,2021-03-30,27289.45,2021-04-26,24505.23,trail,8,1.694,47049.67,531.07
IBREALEST,2021-04-05,88.15,78.6,2.0,12.15,,,2021-05-03,76.5,stop,4,-1.22,-30767.21,424.05
AUBANK,2021-04-26,537.81,484.23,2.0,11.07,,,2021-05-10,469.65,stop,2,-1.272,-30617.7,440.83
CENTRALBK,2021-02-22,19.42,13.35,2.0,45.49,,,2021-05-24,18.02,time,13,-0.23,-5841.13,149.3
IOB,2021-02-22,17.15,10.95,2.0,56.62,,,2021-05-24,17.1,time,13,-0.008,-663.36,133.75
BHEL,2021-03-01,48.06,36.17,2.0,32.88,,,2021-05-31,71.1,time,13,1.938,46102.52,240.65
CSBBANK,2021-03-08,261.0,224.0,2.0,16.52,,,2021-06-07,328.0,time,13,1.811,44150.78,400.45
ERIS,2021-03-30,601.92,553.18,2.0,8.81,,,2021-06-28,677.64,time,13,1.554,35536.42,638.22
ADANIGREEN,2021-06-28,1167.25,1014.2,2.0,15.09,,,2021-07-19,1008.0,stop,3,-1.041,-29306.64,390.7
BAJFINANCE,2021-05-03,517.58,456.61,2.0,13.35,,,2021-08-02,611.42,time,13,1.539,34826.63,428.3
BANKBARODA,2021-05-10,61.27,55.26,2.0,10.88,,,2021-08-09,73.21,time,13,1.986,46003.01,529.01
LAOPALA,2021-05-24,244.16,198.11,2.0,23.24,,,2021-08-23,249.85,time,13,0.124,2296.23,286.23
ABFRL,2021-06-07,206.35,185.7,2.0,11.12,,,2021-09-06,220.5,time,13,0.685,17778.05,567.09
ALOKINDS,2021-06-16,29.05,20.2,2.0,43.81,,,2021-09-13,25.1,time,13,-0.446,-12604.92,168.64
MTARTECH,2021-07-05,1278.41,998.76,2.0,28.0,,,2021-10-04,1481.61,time,13,0.727,19044.2,265.15
SYNGENE,2021-07-20,673.12,569.46,2.0,18.2,,,2021-10-18,608.71,time,13,-0.621,-18031.47,335.5
SONACOMS,2021-08-02,431.35,383.79,2.0,12.39,2021-09-13,538.88,2021-11-01,637.0,time,13,3.162,87824.37,578.43
CHOLAFIN,2021-08-09,522.66,465.82,2.0,12.2,,,2021-11-08,609.53,time,13,1.528,39185.55,522.98
BALAMINES,2021-11-08,3433.0,2973.32,2.0,15.46,,,2021-11-15,2929.54,stop,1,-1.095,-35255.42,426.67
ASTERDM,2021-08-23,148.78,121.22,2.0,22.74,,,2021-11-22,149.8,time,13,0.037,450.85,279.21
AMBER,2021-09-06,3172.0,2869.8,2.0,10.53,,,2021-12-06,3274.05,time,13,0.338,7479.63,606.55
UCOBANK,2021-09-17,13.95,12.31,2.0,13.33,,,2021-12-20,12.46,time,13,-0.912,-28793.64,478.52
IDBI,2021-10-04,47.32,36.67,2.0,29.03,,,2022-01-03,43.96,time,13,-0.316,-9602.19,248.72
UNIONBANK,2021-10-18,39.12,32.47,2.0,20.48,,,2022-01-17,39.17,time,13,0.006,-464.55,372.11
ASAHIINDIA,2021-11-01,434.7,341.17,2.0,27.41,,,2022-01-31,573.15,time,13,1.48,42950.13,320.84
KIMS,2021-11-15,240.0,200.0,2.0,20.0,,,2022-02-14,273.06,time,13,0.826,23411.89,384.2
WELCORP,2021-11-26,153.9,132.25,2.0,16.38,,,2022-02-28,133.9,time,13,-0.924,-27762.75,389.33
ALKYLAMINE,2021-12-06,3227.32,2933.93,2.0,10.0,,,2022-02-28,2916.57,stop,12,-1.059,-32824.88,606.98
BAJAJELEC,2021-12-20,1169.6,1030.46,2.0,13.5,,,2022-03-07,984.88,stop,11,-1.328,-38822.55,443.49
ATUL,2022-01-31,9802.17,8918.39,2.0,9.91,,,2022-03-07,8367.29,stop,5,-1.624,-48797.2,604.14
SAPPHIRE,2022-02-14,297.8,249.8,2.0,19.22,,,2022-03-07,243.0,stop,3,-1.142,-33623.86,320.74
INDIACEM,2022-01-12,244.55,190.49,2.0,28.38,,,2022-04-11,225.17,time,13,-0.359,-11523.19,267.58
BALAMINES,2022-04-11,3356.88,2982.95,2.0,12.54,,,2022-05-09,2920.15,stop,4,-1.168,-37533.32,513.62
AFFLE,2022-02-28,1190.0,1106.05,2.0,7.59,,,2022-05-16,1045.0,stop,11,-1.727,-46735.43,700.92
BDL,2022-03-11,233.14,200.07,2.0,16.53,2022-04-11,350.69,2022-05-16,330.45,trail,9,2.471,82495.43,448.96
AMBER,2022-03-11,3595.25,3126.15,2.0,15.01,,,2022-05-23,2717.1,stop,10,-1.872,-49662.97,348.23
ATGL,2022-03-11,1683.68,1508.09,2.0,11.64,2022-03-28,2091.93,2022-06-13,2331.68,time,13,2.845,75824.69,574.11
JKPAPER,2022-03-14,250.86,202.77,2.0,23.72,,,2022-06-13,310.49,time,13,1.24,31014.8,301.91
WELCORP,2022-04-04,172.07,139.42,2.0,23.42,,,2022-07-04,206.91,time,13,1.067,29556.9,334.18
KEC,2022-07-22,450.47,400.75,2.0,12.4,,,2022-08-16,391.8,stop,3,-1.18,-34032.27,465.18
BHARATFORG,2022-08-16,779.33,687.9,2.0,13.29,,,2022-10-03,681.94,stop,7,-1.065,-31259.35,456.68
ADANIGREEN,2022-07-22,2125.0,1910.8,2.0,11.21,,,2022-10-24,2130.0,time,13,0.023,-340.84,545.41
BAJAJELEC,2022-07-22,1062.85,993.28,2.0,7.0,,,2022-10-24,1086.25,time,13,0.336,6264.38,848.13
CAMPUS,2022-07-22,376.4,350.05,2.0,7.53,2022-08-01,438.32,2022-10-24,592.8,time,13,5.106,141737.44,929.34
DEVYANI,2022-08-01,179.0,154.45,2.0,15.9,,,2022-10-31,193.0,time,13,0.57,14875.38,435.79
KIMS,2022-10-03,301.6,258.99,2.0,16.45,,,2023-01-02,309.0,time,13,0.174,3688.76,427.97
APOLLOHOSP,2022-11-28,4715.29,4299.32,2.0,9.68,,,2023-01-16,4322.35,stop,7,-0.945,-30229.82,667.65
ABBOTINDIA,2022-10-24,17882.91,17259.65,2.0,3.61,2022-11-28,19341.3,2023-01-23,20884.17,time,13,3.408,97549.47,1767.64
SUZLON,2022-10-24,8.85,6.75,2.0,31.11,,,2023-01-23,10.05,time,13,0.571,16099.21,260.96
MCX,2022-10-31,297.62,266.17,2.0,11.81,,,2023-01-30,294.86,time,13,-0.088,-3550.66,550.39
ATGL,2023-01-02,3694.93,3095.85,2.0,19.35,,,2023-01-30,2497.57,stop,4,-1.999,-63531.26,325.54
360ONE,2023-01-23,456.62,419.99,2.0,8.72,,,2023-02-27,421.82,stop,5,-0.95,-32545.9,754.74
ACI,2023-01-16,607.28,536.69,2.0,13.15,,,2023-04-17,571.76,time,13,-0.503,-17810.21,529.73
APLAPOLLO,2023-01-23,1187.5,1073.88,2.0,10.58,,,2023-04-24,1217.44,time,13,0.263,5962.2,666.22
CHALET,2023-02-03,361.75,339.62,2.0,6.51,,,2023-05-08,379.53,time,13,0.804,19400.68,995.62
AUROPHARMA,2023-04-17,560.7,528.66,2.0,6.06,2023-06-05,657.65,2023-07-17,733.04,time,13,3.69,118472.74,1124.05
KRBL,2023-04-24,367.22,329.06,2.0,11.6,,,2023-07-24,370.88,time,13,0.096,833.69,571.54
GSFC,2023-05-02,146.16,111.76,2.0,30.78,,,2023-07-31,149.03,time,13,0.083,2076.85,262.9
AARTIDRUGS,2023-05-08,444.0,418.79,2.0,6.02,2023-07-24,565.52,2023-08-07,568.0,time,13,3.46,142289.62,1206.31
AIAENG,2023-06-05,3045.39,2725.55,2.0,11.73,,,2023-09-04,3672.24,time,13,1.96,58570.11,652.13
ACI,2023-09-04,663.93,584.82,2.0,13.53,,,2023-09-25,585.51,stop,3,-0.991,-39266.62,592.62
MAPMYINDIA,2023-07-17,1461.96,1193.54,2.0,22.49,2023-10-09,2197.36,2023-10-16,2031.94,time,13,2.062,78824.03,440.39
ALKEM,2023-07-24,3609.66,3413.47,2.0,5.75,,,2023-10-23,3487.59,time,13,-0.622,-23259.03,1224.11
MMTC,2023-08-07,37.85,33.9,2.0,11.65,2023-09-11,65.95,2023-10-23,62.1,trail,11,4.07,242563.42,957.11
AJANTPHARM,2023-07-31,1551.27,1335.47,2.0,16.16,,,2023-10-30,1700.98,time,13,0.694,24329.54,550.02
BAJAJHLDNG,2023-10-23,6885.85,6570.73,2.0,4.8,,,2023-10-30,6603.8,stop,1,-0.895,-44570.7,1826.04
BBTC,2023-09-11,1249.36,960.39,2.0,30.09,,,2023-12-11,1353.51,time,13,0.36,13572.28,371.73
CONCORDBIO,2023-10-03,1077.06,974.3,2.0,10.55,2023-11-13,1295.24,2024-01-01,1454.48,time,13,2.836,115440.6,978.68
ADANIPOWER,2023-10-30,70.88,57.87,2.0,22.48,2023-12-11,107.0,2024-01-29,114.0,time,13,2.657,126293.79,582.98
AXISBANK,2023-10-30,1001.12,949.85,2.0,5.4,2023-12-11,1127.17,2024-01-29,1034.32,trail,13,1.324,61885.83,1698.07
PRSMJOHNSN,2023-10-30,136.95,120.0,2.0,14.12,2023-12-04,184.7,2024-01-29,169.0,trail,13,1.945,95723.7,774.14
PRINCEPIPE,2023-11-13,724.56,612.07,2.0,18.38,,,2024-02-12,644.92,time,13,-0.708,-32431.18,540.92
ACI,2023-12-11,604.39,574.32,2.0,5.24,2024-02-26,781.33,2024-03-11,687.22,time,13,2.377,203008.61,2170.69
ABFRL,2024-01-29,242.0,221.45,2.0,9.28,,,2024-03-18,207.5,stop,7,-1.679,-82109.13,1045.28
EPIGRAL,2024-02-26,1236.24,1024.69,2.0,20.64,,,2024-03-18,998.88,stop,3,-1.122,-61774.82,563.15
BIOCON,2024-01-08,292.4,248.97,2.0,17.44,,,2024-04-08,272.06,time,13,-0.468,-24956.1,659.47
CRISIL,2024-02-12,4390.76,3948.44,2.0,11.2,,,2024-05-13,3992.26,time,13,-0.901,-47257.69,925.96
ABB,2024-02-26,5268.71,4374.14,2.0,20.45,2024-05-13,7449.25,2024-05-27,8347.06,time,13,2.721,155256.76,784.51
JYOTHYLAB,2024-05-13,458.87,404.74,2.0,13.38,,,2024-06-03,410.68,stop,3,-0.89,-47048.1,822.22
ICICIPRULI,2024-03-11,591.54,530.85,2.0,11.43,,,2024-06-10,568.43,time,13,-0.381,-21490.53,989.11
BLS,2024-03-18,353.78,260.07,2.0,36.03,,,2024-06-18,348.54,time,13,-0.056,-3489.15,376.65
CAMS,2024-03-18,579.39,523.7,2.0,10.64,2024-06-18,698.37,2024-06-24,684.82,time,14,1.947,99181.56,1146.87
ABCAPITAL,2024-04-08,205.85,176.3,2.0,16.76,,,2024-07-08,236.01,time,13,1.021,51613.27,776.64
AAVAS,2024-06-18,1873.0,1675.0,2.0,11.82,,,2024-08-05,1639.35,stop,7,-1.18,-66642.17,975.41
APLLTD,2024-07-08,976.02,861.06,2.0,13.35,2024-08-05,1216.38,2024-08-19,1070.1,trail,6,1.409,77669.37,1030.04
CROMPTON,2024-05-24,388.28,315.1,2.0,23.22,,,2024-08-26,456.44,time,13,0.931,47554.98,602.79
FINCABLES,2024-05-27,1288.71,1021.47,2.0,26.16,,,2024-08-26,1459.81,time,13,0.64,32038.39,529.99
EMAMILTD,2024-06-03,615.54,495.31,2.0,24.27,,,2024-09-02,787.5,time,13,1.43,72005.48,596.24
ADANIENSOL,2024-08-05,1200.0,1047.85,2.0,14.52,,,2024-09-02,1017.0,stop,4,-1.203,-71800.66,851.28
ABFRL,2024-06-10,324.2,248.9,2.0,30.25,,,2024-09-09,309.25,time,13,-0.199,-11287.85,444.39
BBTC,2024-06-10,1574.5,1292.99,2.0,21.77,2024-07-15,2245.22,2024-09-09,2581.08,time,13,2.788,154754.64,748.28
MAPMYINDIA,2024-06-24,2472.4,1933.28,2.0,27.89,,,2024-09-23,2090.92,time,13,-0.708,-39775.42,465.76
FINPIPE,2024-09-02,304.63,279.02,2.0,9.18,,,2024-09-30,278.87,stop,4,-1.006,-60032.62,1259.81
TTML,2024-07-22,99.99,76.01,2.0,31.55,,,2024-10-21,80.33,time,13,-0.82,-47446.3,428.11
ADANIPOWER,2024-08-19,139.6,124.0,2.0,12.58,,,2024-10-21,123.0,stop,9,-1.064,-61384.32,944.17
RENUKA,2024-09-30,53.15,47.5,2.0,11.89,,,2024-10-21,44.52,stop,3,-1.527,-83367.21,924.67
AARTIDRUGS,2024-08-26,560.76,490.95,2.0,14.22,,,2024-10-28,473.53,stop,9,-1.249,-73131.07,832.62
RITES,2024-09-23,358.48,280.34,2.0,27.87,,,2024-10-28,266.54,stop,5,-1.177,-64795.26,435.18
ABCAPITAL,2024-10-21,222.9,213.35,2.0,4.48,,,2024-10-28,204.11,stop,1,-1.968,-103277.01,2254.78
BAJAJ-AUTO,2024-10-28,9815.69,9503.41,2.0,3.29,,,2024-11-04,9517.93,stop,1,-0.953,-49574.48,2882.07
ABBOTINDIA,2024-11-04,28749.59,27046.71,2.0,6.3,,,2024-11-18,27068.11,stop,2,-0.987,-50641.42,1506.09
GSPL,2024-09-02,419.95,338.0,2.0,24.25,,,2024-11-25,336.0,stop,12,-1.024,-57560.03,510.05
FLUOROCHEM,2024-09-09,3795.27,3100.42,2.0,22.41,,,2024-12-09,4416.46,time,13,0.894,47911.2,648.79
CESC,2024-12-09,185.86,162.49,2.0,14.38,,,2025-01-13,151.22,stop,5,-1.482,-66781.45,638.66
AADHARHFC,2024-11-04,440.7,408.0,2.0,8.01,,,2025-01-20,399.4,stop,11,-1.263,-62163.2,1180.44
NLCINDIA,2024-11-25,255.84,220.26,2.0,16.15,,,2025-01-27,215.05,stop,9,-1.146,-50597.35,561.42
ACE,2024-11-04,1340.19,1113.13,2.0,20.4,,,2025-02-03,1265.2,time,13,-0.33,-16123.5,527.21
EICHERMOT,2024-11-18,4817.48,4477.99,2.0,7.58,,,2025-02-17,4639.84,time,13,-0.523,-24929.39,1211.1
AEGISLOG,2025-04-21,778.73,749.84,2.0,3.85,2025-05-19,858.44,2025-06-02,791.6,trail,6,1.223,60019.16,2218.03
ABBOTINDIA,2025-04-21,30574.18,29173.68,2.0,4.8,2025-06-30,34464.99,2025-07-21,33779.53,time,13,2.144,94776.26,1845.98
ABCAPITAL,2025-05-19,218.23,199.01,2.0,9.66,2025-06-23,258.8,2025-08-04,251.5,trail,11,1.866,78473.71,1029.94
AAVAS,2025-06-30,1999.0,1799.0,2.0,11.12,,,2025-08-04,1670.1,stop,5,-1.645,-78713.15,845.1
APARINDS,2025-06-02,8102.03,7536.38,2.0,7.51,,,2025-09-01,7798.0,time,13,-0.537,-24075.77,1150.77
VMM,2025-06-23,127.91,113.5,2.0,12.7,,,2025-09-22,151.35,time,13,1.627,68298.84,831.53
APTUS,2025-09-08,334.56,311.15,2.0,7.53,,,2025-09-29,308.39,stop,3,-1.118,-51810.16,1218.77
NEULANDLAB,2025-07-21,14265.0,12115.97,2.0,17.74,,,2025-10-20,16349.0,time,13,0.97,43517.82,656.64
AFFLE,2025-08-04,1944.6,1773.0,2.0,9.68,,,2025-11-03,1950.0,time,13,0.031,-2125.71,1005.8
KAYNES,2025-08-04,6375.0,5405.0,2.0,17.95,,,2025-11-03,6709.0,time,13,0.344,14183.48,597.77
ANANTRAJ,2025-09-22,644.4,536.05,2.0,20.21,,,2025-12-08,526.7,stop,11,-1.086,-50777.11,496.34
MINDACORP,2025-09-29,577.41,529.51,2.0,9.05,,,2025-12-29,577.81,time,13,0.008,-1548.9,1065.22
CEATLTD,2025-10-20,3758.0,3445.5,2.0,9.07,,,2026-01-19,3775.0,time,13,0.054,480.28,1051.55
