tkr,sig_date,entry_date,entry,trig,gap_pct,stop0,stop_pct,sh,notional_pct,risk_pct,adv_cr,rank,half_date,half_px,exit_date,exit_px,reason,held,R,final_stop,half_done,engine,slope66_pct,dist_to_44sma_pct,atr_pct,regime_ok,days_to_fill,mae_pct,mfe_pct,max_1d_move_in_trade_pct,zero_vol_days,exit_day_open,gap_through_stop,gross_ret_pct,src
KEI,2023-08-02,2023-08-04,2406.540819600748,2406.540819600748,-3.077975117446874,1999.5072743795183,20.356692393006636,64.71957448892574,11.824778806831521,1.9999999999999998,119.70216516364015,42,,,2023-09-22,2474.623916706163,stop,33,0.16726655064365972,2474.623916706163,False,B,36.77424273037495,2.120645144748523,4.302474985879116,True,2,-7.924074593676867,12.866531885948284,3.6485813610345947,0,2555.747469368213,False,2.829085488635519,pinned
360ONE,2023-09-22,2023-09-25,511.9104068689647,510.495944642189,0.27707609465283944,435.22595477579046,17.619457491380253,352.8894173716743,13.351087290732053,2.0,43.79822579867035,32,,,2023-09-29,489.2411264383149,stop,4,-0.2956176879650368,489.2411264383149,False,B,24.785926581531758,3.0102380900595582,3.7669633182673543,True,1,-6.437960515349317,0.0,1.645432896307317,0,492.76190455628193,False,-4.428368739229893,pinned
NCC,2023-09-26,2023-09-27,158.37296857097078,158.37296857097078,-0.6897297429537819,128.5897473496246,23.16142759062132,904.222457335,10.635046316444905,2.0,153.304837038481,48,,,2023-10-09,151.76964142313864,stop,7,-0.22171299399607647,151.76964142313864,False,B,30.89467498992957,4.312964778647621,4.748934816640142,True,1,-5.222190028023421,0.5209930724825673,3.5795041421569236,0,152.36404969663892,False,-4.169478672664417,pinned
IRFC,2023-11-17,2023-11-20,75.03865520945737,75.03865520945737,-0.35736387492909527,64.501557332656,16.33619142319005,2529.767189916924,14.242755659442738,2.0,314.76703881847936,4,,,2023-11-28,72.86211929936492,stop,5,-0.20655933308585356,72.86211929936492,False,B,112.24710544748567,3.549263450069162,3.54605463225487,True,1,-3.125201122942889,1.0587439485098216,0.9855420143792162,0,73.85277599838231,False,-2.900552927044109,pinned
COCHINSHIP,2023-11-15,2023-11-16,541.4606268406412,541.4606268406412,-0.5054551107294025,454.46842659224944,19.14152780660414,307.4631122954359,12.44848676765481,2.0,212.58820089083773,43,,,2023-12-20,605.6239970199176,stop,23,0.7375761274696875,605.6239970199176,False,B,69.06459976648603,6.064037993755633,4.0580930907810595,True,1,-3.209105386060218,21.431769617433226,8.346369423150266,0,646.321120394366,False,11.85005280137581,pinned
IDEA,2023-12-29,2024-01-01,16.26625,16.26625,-0.4072803323479368,13.146295071152805,23.732579498336204,8655.625414582923,10.42723396392799,1.9999999999999998,400.0875198540324,35,,,2024-01-31,14.23575,stop,20,-0.6508106835858228,14.23575,False,B,49.23407987845667,19.443501943610574,4.8749295763237415,True,1,-12.702683106031587,13.117649234029205,5.993683487234904,0,14.5,False,-12.482901713670946,pinned
PFC,2024-01-24,2024-01-25,386.82584747196864,385.3902924161259,0.37249382874768866,319.69711983477566,20.997601627404762,398.69037417529563,11.524897345369796,2.0,478.5593950403967,34,,,2024-02-09,404.7629789864415,stop,10,0.26720499770853273,404.7629789864415,False,B,69.19338154853946,10.074517605193268,4.371351015157282,True,1,-4.282854388582569,12.436777362384731,8.472961156403363,0,421.46222356543365,False,4.637004386262644,pinned
BSE,2024-02-01,2024-02-02,829.631776663106,829.631776663106,-0.02022955989241515,703.1883304754077,17.98144831303061,214.05778158798122,13.122574584554798,2.0,190.12596092449036,18,,,2024-02-12,785.8491716653456,stop,6,-0.34626235141335526,785.8491716653456,False,B,81.21095397973423,7.894958281390707,3.83629404307015,True,1,-7.381293245126763,3.5228728006238663,5.115269991047135,0,826.1592763516535,False,-5.277353909207793,pinned
SJVN,2024-02-13,2024-02-14,109.0536851388779,109.0536851388779,-6.935175143800487,62.82795453558341,73.57510035936943,580.1649074475,4.718310937030628,2.0,1090.3578479816258,6,,,2024-02-29,111.49998639181239,stop,11,0.05292076990471931,111.49998639181239,False,B,49.38913029425278,1.847059418126129,11.181391288775872,True,1,-8.556359596962238,12.916256575022288,4.813276556793909,0,114.79498995331869,False,2.2432082417198185,pinned
MCX,2024-01-24,2024-01-25,634.176124429018,634.176124429018,-0.0951967881404836,535.2154661440612,18.48987268583904,270.44664014378685,12.816732132134984,2.0,160.7929926598755,44,,,2024-03-05,723.5517336617687,stop,27,0.9031428325324388,723.5517336617687,False,B,73.8459109370441,0.5797423354054754,3.928928671605981,True,1,-2.4201341742428495,25.18888124439087,8.902321230343386,0,737.8064320609884,False,14.093184178641248,pinned
