ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
JAMNAAUTO,2023-09-01,2023-10-13,115.84,88.99,23.18,-0.308,6,stop,False,False,16.8,8.13,348986668.6808155,2023,stop@108.37x1.00
JKTYRE,2025-10-24,2025-12-12,411.95,298.85,27.45,0.222,7,stop,False,False,22.72,13.09,441444164.6653687,2025,stop@440.00x1.00
JSWENERGY,2019-11-08,2019-12-13,72.37,54.64,24.49,-0.425,5,stop,False,False,13.38,6.93,70484450.67352009,2019,stop@65.33x1.00
JSWINFRA,2025-09-19,2025-10-31,334.79,260.79,22.1,-0.634,6,stage4,False,False,12.82,6.89,615900076.1882232,2025,stage4@288.98x1.00
JUSTDIAL,2023-06-09,2023-08-18,751.0,563.8,24.93,-0.001,10,stop,False,False,21.57,16.48,229969421.42178345,2023,stop@756.00x1.00
KNRCON,2024-05-31,2024-07-26,317.26,236.28,25.53,0.238,8,stop,True,False,18.94,10.83,788289267.2364998,2024,stop@337.72x1.00
KRBL,2023-09-08,2023-11-17,439.93,311.84,29.12,-0.643,10,stop,False,True,18.56,8.98,320539819.6717529,2023,stage3_half@380.98x0.50;stop@339.79x0.50
LATENTVIEW,2023-08-18,2023-09-15,425.45,310.45,27.03,-0.087,4,stop,False,False,17.92,9.83,553458347.074707,2023,stop@417.00x1.00
LATENTVIEW,2025-11-14,2026-01-09,488.8,386.4,20.95,-0.419,8,stop,False,False,18.16,8.43,419320870.61715543,2025,stop@449.15x1.00
LICI,2023-12-08,2024-03-15,369.0,282.9,23.33,1.25,14,stop,False,False,25.58,10.41,3231819130.599051,2023,stop@478.16x1.00
LT,2019-05-24,2019-06-21,1373.99,1068.74,22.22,-0.158,4,stop,False,False,15.24,7.93,3854981471.4402285,2019,stop@1330.70x1.00
LTF,2022-12-02,2023-03-17,86.43,61.94,28.34,-0.2,15,stop,False,False,19.3,9.51,730096017.4676354,2022,stop@81.84x1.00
LTI,2020-01-17,2020-02-28,1902.35,1435.8,24.52,-0.031,6,stop,False,False,14.04,5.77,329323005.60249996,2020,stop@1901.00x1.00
M&MFIN,2025-10-31,2026-02-06,315.55,230.52,26.95,0.309,14,stop,False,False,18.07,11.45,971550006.0375793,2025,stop@343.00x1.00
MANYAVAR,2023-12-01,2024-01-12,1367.06,1159.07,15.21,-0.95,6,stage4,False,False,11.02,1.91,361850484.2081116,2023,stage4@1178.37x1.00
MARICO,2023-07-28,2023-10-06,555.45,447.47,19.44,-0.272,10,stop,False,False,12.78,3.27,952549035.3419403,2023,stop@528.08x1.00
MARICO,2024-06-07,2024-10-25,643.14,478.96,25.53,-0.025,20,stop,False,True,21.62,8.52,2133047540.5687225,2024,stage3_half@659.19x0.50;stop@623.44x0.50
