,blend
2020-02-10,-0.005872732622317364
2020-02-11,0.01061647991193395
2020-02-12,-0.0015757070153561872
2020-02-13,0.0024506227486583146
2020-02-14,-0.002660844406007593
2020-02-17,-0.007439363528551578
2020-02-18,-0.0035223215080193567
2020-02-19,0.0029938437505907696
2020-02-20,0.005714780387361874
2020-02-24,-0.023709064074324816
2020-02-25,-0.009150059944604303
2020-02-26,-0.007148015635075567
2020-02-27,-0.0050105917084575895
2020-02-28,-0.03913328461480872
2020-03-02,-0.0022972847955290464
2020-03-03,0.009239200641557822
2020-03-04,0.00016528292921122196
2020-03-05,0.010551973521839033
2020-03-06,-0.007945492076692335
2020-03-09,-0.03436207573194384
2020-03-11,-0.009753362946126085
2020-03-12,-0.08501951153391471
2020-03-13,0.03489948664118508
2020-03-16,-0.05067647660797356
2020-03-17,-0.007804866905415652
2020-03-18,-0.04891214431146147
2020-03-19,-0.038641958459521536
2020-03-20,0.03177481330528655
2020-03-23,-0.09778448912904637
2020-03-24,0.011728771586825585
2020-03-25,0.011597610388063884
2020-03-26,0.028151991690069666
2020-03-27,-0.0048627154145917
2020-03-30,-0.005494577592962388
2020-03-31,0.0353675149877032
2020-04-01,-0.021493663448048907
2020-04-03,0.004851551880390834
2020-04-07,0.06482029926899055
2020-04-08,0.01910889956510511
2020-04-09,0.03298814842549466
2020-04-13,-0.008749527823382676
2020-04-15,0.004918297427267137
2020-04-16,0.008799898933582488
2020-04-17,0.018775422958699595
2020-04-20,0.012250147027770686
2020-04-21,-0.021861993878772187
2020-04-22,0.0320847572982232
2020-04-23,0.0039291409057949245
2020-04-24,-0.012012354757864082
2020-04-27,0.03303100234071021
2020-04-28,-0.004625070043469867
2020-04-29,0.0014057205733423415
2020-04-30,0.0037238397880060207
2020-05-04,-0.01866390135459054
2020-05-05,-0.009010454955179617
2020-05-06,0.0011759522541107546
2020-05-07,-0.006195173104430571
2020-05-08,-0.002580910213829705
2020-05-11,0.0024343703501703345
2020-05-12,-0.00636837834058001
2020-05-13,0.005954752040647397
2020-05-14,0.0008622363164030801
2020-05-15,0.001921344748020297
2020-05-18,-0.020706696314285865
2020-05-19,-8.169382732068665e-05
2020-05-20,0.010806646849069844
2020-05-21,0.0026780341643074515
2020-05-22,-0.005416956711279414
2020-05-26,0.0067428974133913735
2020-05-27,0.0016273518119817303
2020-05-28,0.006581189707212974
2020-05-29,0.018883003842903576
2020-06-01,0.021149121041641676
2020-06-02,0.004378038899517363
2020-06-03,-0.0021626285768243415
2020-06-04,-0.003274914306064588
2020-06-05,0.019350358583786822
2020-06-08,0.008110333866900887
2020-06-09,-0.01442291681685265
2020-06-10,-0.002222214863208112
2020-06-11,-0.006641504149931476
2020-06-12,0.010275404947538232
2020-06-15,-0.0054280275097320484
2020-06-16,-0.0016304108187747092
2020-06-17,0.002061907069195597
2020-06-18,0.0062465446113417755
2020-06-19,0.009827938223758702
2020-06-22,0.012840894361753832
2020-06-23,0.010615735806074937
2020-06-24,-0.011653948310192931
2020-06-25,0.0028645710189299767
2020-06-26,0.010238529624626168
2020-06-29,-0.011037801479145262
2020-06-30,-0.0042456904906009625
2020-07-01,-0.0012112343265034836
2020-07-02,0.012380421535837505
2020-07-03,0.0043013076474029775
2020-07-06,0.010777813019643295
2020-07-07,0.0036508835108874597
2020-07-08,0.004427357429126806
2020-07-09,0.010688503983173238
2020-07-10,0.004452663962233035
2020-07-13,0.018979860979779523
2020-07-14,0.0008711141514644159
2020-07-15,0.0017432489727078823
2020-07-16,-0.001938130979788942
2020-07-17,0.006538665649799151
2020-07-20,0.009576377842205743
2020-07-21,-0.00041219752293576457
2020-07-22,-0.010977180249954688
2020-07-23,0.010443562594493054
2020-07-24,-0.004064512241874611
2020-07-27,0.0012061316153761377
2020-07-28,0.015166154064773592
2020-07-29,0.0041328099230164015
