tkr,sig_date,entry_date,entry,trig,stop0,stop_pct,risk_pct,notional_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through
GODFRYPHLP,2019-08-23,2019-08-28,300.96,293.33,260.2,15.67,2.0,14.77,2019-11-14,382.49385332138576,2019-12-03,423.26,target3,63,2.5,False
CHOLAFIN,2019-10-17,2019-10-22,292.51,284.61,264.38,10.64,2.0,20.79,,,2019-12-06,296.0,ma_breach,32,0.124,False
JUBLFOOD,2019-10-17,2019-10-23,290.03,267.3,256.66,13.0,2.0,17.38,,,2019-12-26,310.35,ma_breach,44,0.609,False
NMDC,2019-12-03,2019-12-06,18.13,18.0,16.71,8.51,2.0,25.5,2019-12-30,20.973491675021155,2020-01-20,22.4,target3,30,2.5,False
AUBANK,2019-11-13,2019-11-14,405.42,405.42,357.85,13.29,2.0,17.04,2020-01-23,500.5667172797241,2020-01-27,548.14,target3,51,2.5,False
MHRIL,2019-12-20,2019-12-26,157.9,150.67,142.12,11.1,2.0,20.02,,,2020-02-06,150.93,ma_breach,30,-0.442,False
ATGL,2020-01-24,2020-01-27,176.68,176.68,147.91,19.45,2.0,12.28,,,2020-02-19,164.69,ma_breach,17,-0.417,False
CHOLAFIN,2020-02-03,2020-02-06,339.99,325.42,310.15,9.62,2.0,22.78,,,2020-02-26,310.15,stop,13,-1.0,False
ESSELPACK,2019-11-18,2019-11-21,131.98,122.06,115.41,14.37,2.0,15.92,2020-01-24,165.14145811179023,2020-02-27,181.72,target3,68,2.5,False
INFIBEAM,2019-12-26,2019-12-30,13.99,13.99,11.88,17.78,2.0,13.25,,,2020-03-04,14.2,ma_breach,46,0.101,False
JCHAC,2020-01-21,2020-01-24,2380.0,2126.55,2033.11,17.06,2.0,13.72,2020-03-04,3073.7702999999997,2020-03-04,3420.66,target3,27,2.5,False
MIDHANI,2020-02-17,2020-02-19,205.43,202.67,173.56,18.36,2.0,12.89,,,2020-03-12,173.56,stop,14,-1.0,False
TASTYBITE,2020-02-20,2020-02-26,12808.75,12287.81,10788.76,18.72,2.0,12.68,,,2020-03-12,10788.76,stop,10,-1.0,True
GARFIBRES,2020-02-24,2020-02-27,318.47,297.62,263.57,20.83,2.0,11.6,,,2020-03-12,263.57,stop,9,-1.0,True
PIIND,2020-02-28,2020-03-04,1533.72,1516.95,1412.36,8.59,2.0,25.28,,,2020-03-12,1412.36,stop,5,-1.0,False
INDOCO,2020-03-03,2020-03-04,236.19,232.77,184.91,27.73,2.0,9.21,,,2020-03-12,184.91,stop,5,-1.0,False
BHARTIARTL,2019-11-15,2019-11-20,428.54,380.93,341.16,25.61,2.0,9.81,,,2020-03-13,433.79,ma_breach,79,0.06,False
RALLIS,2020-01-15,2020-01-20,203.5,184.24,173.93,17.0,2.0,13.76,,,2020-03-13,164.8,ma_breach,37,-1.309,False
SFL,2020-03-11,2020-03-12,776.6,776.6,741.13,4.79,2.0,43.79,,,2020-03-13,741.13,stop,1,-1.0,True
BAYERCROP,2020-03-09,2020-03-13,3676.04,3676.04,3512.25,4.66,2.0,44.89,,,2020-03-16,3512.25,stop,1,-1.0,True
RATNAMANI,2020-03-09,2020-03-13,816.52,816.52,757.96,7.73,2.0,27.89,,,2020-03-16,757.96,stop,1,-1.0,False
JCHAC,2020-03-12,2020-03-13,3096.0,3096.0,2507.49,23.47,2.0,10.52,,,2020-03-16,2507.49,stop,1,-1.0,False
IPCALAB,2020-03-13,2020-03-17,663.78,663.78,608.09,9.16,2.0,23.84,,,2020-03-19,608.09,stop,2,-1.0,False
NAVINFLUOR,2020-03-13,2020-03-17,1359.26,1359.26,1106.29,22.87,2.0,10.75,,,2020-03-19,1106.29,stop,2,-1.0,True
PIDILITIND,2020-03-17,2020-03-18,777.07,777.07,716.71,8.42,2.0,25.75,,,2020-03-19,716.71,stop,1,-1.0,True
PFIZER,2020-03-13,2020-03-16,3797.74,3797.74,3022.05,25.67,2.0,9.79,,,2020-03-20,3527.04,ma_breach,4,-0.349,False
JBCHEPHARM,2019-11-21,2019-11-22,181.62,181.62,145.86,24.52,2.0,10.16,2020-02-06,253.1484349962416,2020-03-23,224.82,ma_breach_half,83,1.604,False
IPCALAB,2020-03-20,2020-03-23,796.22,741.24,647.0,23.06,2.0,10.67,,,2020-03-24,647.0,stop,1,-1.0,False
NAVINFLUOR,2020-03-26,2020-03-27,1322.02,1293.6,1091.6,21.11,2.0,11.48,,,2020-04-03,1180.65,ma_breach,4,-0.614,False
HINDUNILVR,2020-03-31,2020-04-01,2069.06,2069.06,1952.6,5.96,2.0,35.53,,,2020-04-03,1952.6,stop,1,-1.0,False
IPCALAB,2020-03-31,2020-04-03,694.92,694.92,644.14,7.88,2.0,27.37,2020-04-08,796.5025762138079,2020-04-08,847.29,target3,2,2.5,False
AJANTPHARM,2020-03-30,2020-03-31,832.25,832.25,743.27,11.97,2.0,18.71,,,2020-04-23,815.41,ma_breach,13,-0.189,False
NAVINFLUOR,2020-04-03,2020-04-07,1288.7,1255.13,1165.03,10.61,2.0,20.84,2020-04-27,1536.028131082598,2020-04-28,1659.69,target3,13,2.5,False
HINDUNILVR,2020-04-07,2020-04-09,2236.29,2200.56,1983.88,12.72,2.0,17.72,,,2020-04-30,1983.88,stop,13,-1.0,False
PFIZER,2020-04-23,2020-04-28,4369.36,3969.92,3676.93,18.83,2.0,12.62,,,2020-06-02,3676.93,stop,23,-1.0,False
ABBOTINDIA,2020-03-26,2020-03-30,15487.62,13578.23,13015.65,18.99,2.0,12.53,,,2020-06-11,14955.46,ma_breach,47,-0.215,False
DEEPAKNTR,2020-04-27,2020-04-30,509.6,475.78,457.63,11.36,2.0,19.61,,,2020-06-12,457.11,ma_breach,29,-1.01,False
DIVISLAB,2020-04-07,2020-04-08,2085.58,2085.58,1861.82,12.02,2.0,18.64,,,2020-06-18,2236.81,ma_breach,47,0.676,False
TRIDENT,2020-06-10,2020-06-11,6.67,6.35,5.67,17.72,2.0,13.29,,,2020-07-16,5.67,stop,25,-1.0,False
GMMPFAUDLR,2020-04-20,2020-04-23,1270.27,1166.73,1061.3,19.69,2.0,12.16,,,2020-07-20,1306.7,ma_breach,60,0.174,False
AVANTIFEED,2020-06-12,2020-06-15,450.82,450.82,397.61,13.38,2.0,16.95,,,2020-07-20,424.3,ma_breach,25,-0.498,False
ZYDUSLIFE,2020-04-03,2020-04-07,291.32,269.57,248.88,17.05,2.0,13.73,,,2020-07-30,348.66,ma_breach,78,1.351,False
GRSE,2020-06-17,2020-06-18,183.61,183.61,168.48,8.98,2.0,24.26,,,2020-08-04,181.52,ma_breach,33,-0.138,False
FDC,2020-07-14,2020-07-16,259.36,259.36,234.3,10.69,2.0,20.7,2020-08-03,309.472242352385,2020-08-05,334.53,target3,14,2.5,False
ALKYLAMINE,2020-04-22,2020-04-27,678.46,678.46,554.79,22.29,2.0,10.97,2020-07-09,925.7985899429601,2020-08-11,1049.47,target3,74,2.5,False
