tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
CRAFTSMAN,2024-04-29,4469.38,4235.57,2.0,5.52,,,2024-06-03,4281.34,stop,5,-0.804,-24097.8,964.37
CSBBANK,2024-07-01,378.15,344.6,2.0,9.74,,,2024-08-05,335.0,stop,5,-1.286,-36030.2,562.92
AIAENG,2024-05-21,3776.78,3614.45,2.0,4.49,2024-06-24,4213.47,2024-08-19,4553.49,time,13,3.392,88699.83,1222.64
ERIS,2024-06-04,904.73,868.14,2.0,4.22,2024-06-10,1003.88,2024-09-02,1373.84,time,13,7.409,178894.51,1353.07
APTUS,2024-06-10,310.27,277.76,2.0,11.7,,,2024-09-09,317.98,time,13,0.237,5015.8,478.65
JYOTHYLAB,2024-06-10,449.83,360.38,2.0,24.82,,,2024-09-09,539.41,time,13,1.001,24307.62,273.88
ACC,2024-09-09,2410.61,2295.4,2.0,5.02,,,2024-10-14,2294.46,stop,5,-1.008,-32499.49,1226.98
MANKIND,2024-08-12,2120.41,1900.3,2.0,11.58,2024-09-30,2597.98,2024-10-28,2444.64,trail,11,1.736,49904.1,590.11
GRAPHITE,2024-09-23,577.97,518.11,2.0,11.55,,,2024-10-28,485.19,stop,5,-1.55,-48202.48,541.19
ADANIENT,2024-10-14,3142.04,2977.64,2.0,5.52,,,2024-10-28,2698.56,stop,2,-2.698,-81593.0,1049.69
ELGIEQUIP,2024-11-04,654.39,585.71,2.0,11.73,,,2024-11-18,587.66,stop,2,-0.972,-27492.75,480.4
CYIENT,2024-08-26,1938.81,1726.45,2.0,12.3,,,2024-11-25,1800.99,time,13,-0.649,-19675.49,509.04
SONACOMS,2024-10-28,690.44,618.95,2.0,11.55,,,2024-12-23,583.11,stop,8,-1.501,-40621.17,471.92
CROMPTON,2024-11-25,391.96,371.05,2.0,5.64,,,2025-01-06,368.82,stop,6,-1.107,-30086.03,933.73
AUROPHARMA,2025-01-06,1319.05,1261.22,2.0,4.59,,,2025-01-13,1187.19,stop,1,-2.28,-60111.08,1104.77
VBL,2024-10-28,605.18,563.84,2.0,7.33,,,2025-01-20,554.19,stop,12,-1.233,-34011.63,742.9
ANANDRATHI,2025-01-13,1016.68,933.95,2.0,8.86,,,2025-01-27,885.34,stop,2,-1.588,-38985.62,537.36
APLLTD,2025-01-20,1019.56,969.67,2.0,5.15,,,2025-01-27,931.2,stop,1,-1.771,-42841.96,877.93
ACE,2024-11-04,1340.19,1113.13,2.0,20.4,,,2025-02-03,1265.2,time,13,-0.33,-9321.1,304.78
BALRAMCHIN,2025-01-20,502.69,453.76,2.0,10.78,,,2025-02-10,459.52,stop,3,-0.882,-21358.8,441.59
BBTC,2025-01-27,2110.11,1933.36,2.0,9.14,,,2025-02-17,1829.33,stop,3,-1.589,-34718.93,464.32
KEI,2025-01-27,4177.7,3902.1,2.0,7.06,,,2025-02-17,3394.98,stop,3,-2.84,-60196.05,572.42
ABSLAMC,2025-02-10,676.41,621.72,2.0,8.8,,,2025-03-03,599.04,stop,3,-1.415,-29563.09,460.74
AFFLE,2025-02-24,1536.0,1440.35,2.0,6.64,,,2025-03-03,1402.15,stop,1,-1.399,-26469.33,558.95
CAMPUS,2025-02-03,287.88,256.05,2.0,12.43,,,2025-03-17,248.58,stop,6,-1.235,-26284.72,342.4
BLUESTARCO,2025-03-03,1928.14,1842.75,2.0,4.63,2025-03-24,2171.02,2025-04-07,1648.13,trail,5,-0.64,-5030.21,757.97
BLUESTARCO,2025-04-15,1982.38,1648.13,2.0,20.28,,,2025-05-12,1634.15,stop,4,-1.042,-17456.52,177.97
JUBLINGREA,2025-02-24,667.72,595.96,2.0,12.04,,,2025-05-26,680.34,time,13,0.176,2002.07,341.84
CAPLIPOINT,2025-03-10,1914.26,1598.46,2.0,19.76,,,2025-06-09,2075.4,time,13,0.51,8329.38,225.81
AFFLE,2025-03-24,1540.0,1408.0,2.0,9.38,2025-06-16,1926.5,2025-06-23,1885.0,time,13,2.307,48182.04,469.4
BALRAMCHIN,2025-03-24,531.97,461.75,2.0,15.21,,,2025-06-23,585.56,time,13,0.763,12723.1,286.19
INDIACEM,2025-06-09,344.0,310.0,2.0,10.97,,,2025-06-23,308.0,stop,2,-1.059,-20246.16,344.82
COHANCE,2025-04-15,1155.2,940.0,2.0,22.89,,,2025-07-14,1017.95,time,13,-0.638,-11071.58,166.1
POLICYBZR,2025-05-26,1778.0,1629.5,2.0,9.11,,,2025-08-25,1911.2,time,13,0.897,14778.55,430.79
INDHOTEL,2025-06-24,759.28,729.69,2.0,4.05,,,2025-09-22,772.11,time,13,0.434,5983.32,909.1
DIVISLAB,2025-09-22,6200.0,5974.0,2.0,3.78,,,2025-09-29,5717.0,stop,1,-2.137,-40787.3,963.55
CAPLIPOINT,2025-08-11,2092.14,1879.75,2.0,11.3,,,2025-11-10,1952.53,time,13,-0.657,-12283.55,323.11
ITI,2025-09-08,309.25,282.0,2.0,9.66,,,2025-12-08,304.5,time,13,-0.174,-4506.45,400.95
DCMSHRIRAM,2025-10-06,1182.77,1134.36,2.0,4.27,,,2026-01-05,1258.36,time,13,1.562,23364.92,850.64
CHOLAHLDNG,2025-12-08,1918.0,1817.4,2.0,5.54,,,2026-01-19,1772.4,stop,6,-1.447,-26436.68,615.47
AADHARHFC,2026-01-05,504.95,472.75,2.0,6.81,,,2026-01-27,472.95,stop,3,-0.994,-18568.93,512.63
NH,2026-01-05,1930.0,1803.0,2.0,7.04,,,2026-01-27,1755.3,stop,3,-1.376,-24101.07,489.81
DALBHARAT,2026-01-19,2143.72,2014.8,2.0,6.4,,,2026-03-02,1906.11,stop,6,-1.843,-30686.58,507.47
RADICO,2026-01-27,2901.4,2700.0,2.0,7.46,,,2026-03-02,2500.0,stop,5,-1.993,-31560.06,414.64
KPIL,2026-03-02,1194.9,1135.6,2.0,5.22,,,2026-03-09,1115.0,stop,1,-1.347,-24602.51,645.9
DATAPATTNS,2026-02-02,2495.0,2131.0,2.0,17.08,2026-03-09,3491.2,2026-04-06,3068.0,trail,9,1.787,32619.5,243.3
POWERINDIA,2026-02-02,18363.0,16410.0,2.0,11.9,2026-02-16,22450.0,2026-05-04,33880.0,time,13,4.973,76314.7,365.37
ENGINERSIN,2026-02-16,200.02,171.24,2.0,16.81,,,2026-05-18,243.5,time,13,1.51,24197.68,251.48
ADANIPOWER,2026-03-09,136.5,130.7,2.0,4.44,2026-03-23,151.54,2026-06-08,230.97,time,13,9.144,148076.92,896.02
ACMESOLAR,2026-03-16,255.45,216.34,2.0,18.08,2026-06-08,353.0,2026-06-15,339.9,time,13,2.08,35988.66,243.68
HONASA,2026-03-23,285.0,261.6,2.0,8.94,2026-04-13,342.7,2026-06-22,415.9,time,13,3.797,63394.97,457.88
BOSCHLTD,2026-04-13,36665.0,32155.0,2.0,14.03,,,2026-06-29,39885.0,eos,12,0.714,12454.11,309.31
3MINDIA,2026-05-25,33950.0,30280.0,2.0,12.12,,,2026-06-29,32710.0,eos,6,-0.338,-8245.15,373.05
CANBK,2026-06-08,130.52,121.49,2.0,7.43,,,2026-06-29,125.86,eos,4,-0.516,-12213.6,610.91
MRPL,2026-06-15,164.7,150.65,2.0,9.33,,,2026-06-29,149.19,eos,3,-1.104,-24581.39,479.99
