id,ticker,entry_date,cohort,ext_band,crs_tercile,false_touch,noise_stop,exit_too_early,R,opp_quality_R,ext_vs_sma,rank_crs
0238cdb0727a,ADANIPOWER,2021-06-14,noise_stop,2,2,0,1,0,-1.002,0.0,128.33,1.0727
3738c6d1e36f,GPPL,2024-05-21,noise_stop,2,2,0,1,0,-1.006,1.171,31.45,0.215
508290d6d90f,DHANUKA,2020-10-07,noise_stop,2,2,0,1,0,-1.248,0.426,35.33,0.2188
cdd8c56e3b29,BAJAJHLDNG,2022-01-03,noise_stop,2,2,0,1,0,-1.195,1.675,32.45,0.2407
0290bc671848,PATANJALI,2022-09-26,noise_stop,2,2,0,1,0,-1.518,0.029,42.81,0.3912
ade04b1e502e,NBCC,2024-06-18,noise_stop,2,2,0,1,0,-1.511,1.853,59.54,0.3981
40af4d0647a6,BERGEPAINT,2020-02-17,noise_stop,2,2,0,1,0,-1.662,0.023,38.95,0.3153
e89b6cd15713,KNRCON,2021-08-30,noise_stop,2,2,0,1,0,-1.167,0.247,54.24,0.3391
a25df70fece8,IDFCFIRSTB,2021-02-22,noise_stop,2,2,0,1,0,-1.088,0.27,92.66,0.5115
5818d57e20f8,IDFCFIRSTB,2022-12-19,noise_stop,2,2,0,1,0,-1.095,0.029,39.41,0.3091
66cf591d41c8,GUJGASLTD,2021-06-21,noise_stop,2,2,0,1,0,-1.002,0.871,53.14,0.3686
fbb4326066c7,VBL,2020-02-10,noise_stop,2,2,0,1,0,-3.07,-0.043,28.36,0.222
1f62076436af,NLCINDIA,2024-02-19,noise_stop,2,2,0,1,0,-1.145,0.831,73.25,0.5184
dfcf10903a7b,JSWSTEEL,2021-08-02,noise_stop,2,2,0,1,0,-1.081,0.215,50.6,0.3447
91b041698efb,GNFC,2018-02-12,noise_stop,2,2,0,1,0,-1.138,0.205,30.21,0.2392
ab725d017cda,KARURVYSYA,2021-02-22,noise_stop,2,2,0,1,0,-1.009,0.078,67.6,0.3229
fa917d8b9a13,APARINDS,2023-01-09,noise_stop,2,2,0,1,0,-1.465,1.968,65.1,0.5338
46ef9b1d3f8b,LALPATHLAB,2019-12-09,noise_stop,2,2,0,1,0,-1.826,-0.044,39.66,0.339
c6e0fab07fa5,GODREJPROP,2018-02-12,noise_stop,2,2,0,1,0,-0.938,-0.094,36.95,0.2978
4a143c91c457,NFL,2020-09-18,noise_stop,2,2,0,1,0,-1.075,-0.29,33.88,0.2336
f7f2655d3836,UCOBANK,2023-03-08,noise_stop,2,2,0,1,0,-1.218,1.288,56.14,0.5591
a6ee6ba76169,ONGC,2024-05-06,noise_stop,2,2,0,1,0,-1.073,1.333,36.27,0.2352
c5af3c8e6a11,BSE,2022-02-21,noise_stop,2,2,0,1,0,-1.29,1.969,66.43,0.5676
31d3ad23c4f9,HEG,2018-03-20,noise_stop,2,2,0,1,0,-1.274,0.651,132.98,1.1044
cda74538ca09,SCHAEFFLER,2024-05-27,noise_stop,2,2,0,1,0,-1.185,0.097,48.45,0.3417
a37083fb8ca7,GODREJPROP,2024-05-21,noise_stop,2,2,0,1,0,-1.17,0.675,39.89,0.2862
ecb00ebf2faf,BALKRISIND,2020-02-24,noise_stop,2,2,0,1,0,-1.527,-0.061,46.93,0.4324
741704ccfcc7,RKFORGE,2018-02-12,noise_stop,2,2,0,1,0,-1.0,0.393,28.21,0.2085
747b6864973c,GALAXYSURF,2019-10-29,noise_stop,2,2,0,1,0,-1.46,0.371,33.8,0.3051
3a0e0cdda363,POLYMED,2021-07-26,noise_stop,2,2,0,1,0,-1.485,0.07,40.21,0.2419
04553ee772e1,PNCINFRA,2019-07-01,noise_stop,2,2,0,1,0,-1.678,0.171,32.65,0.2459
e3ca0675ab51,BALKRISIND,2021-06-21,noise_stop,2,2,0,1,0,-1.237,1.051,38.68,0.2176
d3e5c479c9e4,CGCL,2020-12-28,strong_winner,2,2,0,0,1,2.031,3.272,52.72,0.2356
3cc17a018d93,GESHIP,2023-01-02,strong_winner,2,2,0,0,0,2.026,2.337,41.09,0.3108
80928af2cc5f,HAL,2022-10-10,strong_winner,2,2,0,0,0,2.034,2.395,41.96,0.3639
8d271db130bf,AUROPHARMA,2024-01-23,strong_winner,2,2,0,0,0,2.128,2.447,41.9,0.2388
4db20295489a,ASTRAZEN,2019-11-04,strong_winner,2,2,0,0,0,2.309,3.133,35.41,0.266
c91236db3231,CARBORUNIV,2021-02-08,strong_winner,2,2,0,0,0,2.547,3.651,65.57,0.2851
01e60b880946,ADANIGREEN,2019-10-07,strong_winner,2,2,0,0,1,3.765,7.595,54.11,0.5546
48fa59033a73,BANKBARODA,2022-10-24,strong_winner,2,2,0,0,0,2.078,2.547,32.46,0.2405
8eb349dfd552,RAYMOND,2022-08-01,strong_winner,2,2,0,0,1,2.051,6.966,29.87,0.2272
065cddf9b971,DIXON,2020-11-17,strong_winner,2,2,0,0,1,3.049,5.37,64.52,0.3779
9145f9f93c2c,SONATSOFTW,2023-03-06,strong_winner,2,2,0,0,0,2.557,3.37,46.93,0.4275
76ca497698a2,TRIDENT,2021-08-17,strong_winner,2,2,0,0,1,3.548,7.633,54.85,0.3626
29f4546c8d1a,HATSUN,2020-11-23,strong_winner,2,2,0,0,0,2.651,3.819,48.96,0.1807
82015f1fb0da,SOBHA,2023-11-13,strong_winner,2,2,0,0,1,2.071,4.259,42.92,0.3714
36d8dfe908e6,WELCORP,2023-07-24,strong_winner,2,2,0,0,0,2.639,3.846,38.98,0.293
79e4b4272991,BSOFT,2023-08-07,strong_winner,2,2,0,0,1,2.444,4.214,44.71,0.3407
7a85d1afe509,RADICO,2018-03-26,strong_winner,2,2,0,0,0,2.366,4.399,52.93,0.5086
186ee186efd2,SAIL,2024-03-26,strong_winner,2,2,0,0,1,2.075,5.068,28.8,0.1871
821af5c03be8,DEEPAKNTR,2020-08-31,strong_winner,2,2,0,0,0,3.926,6.31,63.03,0.4427
ba6f31e2f0c5,DIXON,2023-10-16,strong_winner,2,2,0,0,1,2.189,4.813,38.74,0.3297
4773212992da,HINDZINC,2020-09-14,strong_winner,2,2,0,0,1,2.074,3.451,29.7,0.2191
c68c8249667d,TRIDENT,2021-03-15,strong_winner,2,2,0,0,1,2.395,4.654,74.44,0.4073
a1a50b904db4,GLENMARK,2023-07-10,strong_winner,2,2,0,0,1,2.309,3.514,46.86,0.3425
bdac3731c322,SUZLON,2024-01-15,strong_winner,2,2,0,0,1,2.347,3.496,100.58,0.6987
e7daebd537ea,ALKYLAMINE,2021-04-05,strong_winner,2,2,0,0,1,5.157,10.735,58.05,0.333
870285ca837e,BEL,2024-03-26,strong_winner,2,2,0,0,0,4.065,9.14,30.57,0.1919
8d8dd0ac3d2e,TORNTPOWER,2024-05-21,strong_winner,2,2,0,0,0,3.822,6.11,42.94,0.2965
119368953884,EXIDEIND,2023-09-11,strong_winner,2,2,0,0,0,5.209,8.776,35.43,0.2316
