ticker,from_date,to_date
INDIGO,2015-11-10,2030-12-31
INDIGOPNTS,2021-06-14,2024-10-21
INDOCO,2011-06-06,2023-01-05
INDOSTAR,2019-10-29,2021-06-14
INDUSINDBK,2011-04-20,2030-12-31
INDUSTOWER,2021-06-14,2030-12-31
INFIBEAM,2011-01-01,2024-10-21
INFRATEL,2011-01-01,2021-06-14
INFY,2011-04-20,2030-12-31
INGERRAND,2019-10-29,2021-06-14
INGERRAND,2023-01-05,2024-10-21
INOXINDIA,2024-10-21,2026-03-05
INOXLEISUR,2011-01-01,2023-01-05
INOXWIND,2015-04-09,2019-10-29
INOXWIND,2024-10-21,2030-12-31
INTELLECT,2014-12-18,2030-12-31
IOB,2011-04-20,2030-12-31
IOC,2011-04-20,2030-12-31
IPCALAB,2011-04-20,2030-12-31
IRB,2011-04-20,2030-12-31
IRCON,2019-10-29,2022-07-22
IRCON,2023-09-05,2030-12-31
IRCTC,2019-10-29,2030-12-31
IREDA,2024-10-21,2030-12-31
IRFC,2021-06-14,2030-12-31
ISEC,2011-01-01,2024-10-21
ITC,2011-04-20,2030-12-31
ITCHOTELS,2025-10-26,2030-12-31
ITDC,2016-12-30,2021-06-14
ITDCEM,2011-01-01,2019-10-29
ITI,2011-04-20,2030-12-31
J&KBANK,2011-04-20,2021-06-14
J&KBANK,2024-10-21,2030-12-31
JAGRAN,2011-06-06,2021-06-14
JAICORPLTD,2011-06-06,2021-06-14
JAINREC,2026-03-05,2030-12-31
JAMNAAUTO,2019-10-29,2024-10-21
JBCHEPHARM,2011-04-20,2030-12-31
JBMA,2022-07-22,2030-12-31
JCHAC,2011-01-01,2021-06-14
JETAIRWAYS,2011-06-06,2019-10-29
JINDALSAW,2011-04-20,2021-06-14
JINDALSAW,2023-09-05,2030-12-31
JINDALSTEL,2011-04-20,2030-12-31
JINDWORLD,2023-01-05,2023-09-05
JIOFIN,2024-10-21,2030-12-31
JISLJALEQS,2011-06-06,2019-10-29
JKCEMENT,2011-04-20,2030-12-31
JKIL,2011-06-06,2019-10-29
JKLAKSHMI,2011-06-06,2024-10-21
JKPAPER,2019-10-29,2024-10-21
JKTYRE,2011-04-20,2021-06-14
JKTYRE,2024-10-21,2030-12-31
JMFINANCIL,2011-04-20,2030-12-31
JPASSOCIAT,2011-06-06,2019-10-29
JPPOWER,2011-04-20,2019-10-29
JPPOWER,2024-10-21,2030-12-31
JSL,2011-04-20,2030-12-31
JSLHISAR,2011-01-01,2022-07-22
JSWCEMENT,2025-10-26,2030-12-31
JSWDULUX,2026-03-05,2030-12-31
JSWENERGY,2011-04-20,2030-12-31
JSWHL,2024-10-21,2025-10-26
JSWINFRA,2024-10-21,2030-12-31
JSWSTEEL,2011-04-20,2030-12-31
JUBLFOOD,2011-04-20,2030-12-31
JUBLINGREA,2018-10-04,2030-12-31
JUBLPHARMA,2021-06-14,2030-12-31
JUSTDIAL,2013-06-05,2025-10-26
JWL,2024-10-21,2030-12-31
JYOTHYLAB,2011-04-20,2026-03-05
JYOTICNC,2024-10-21,2030-12-31
KAJARIACER,2011-04-20,2030-12-31
KALYANKJIL,2021-06-14,2030-12-31
KANSAINER,2011-04-20,2025-10-26
KARURVYSYA,2011-04-20,2030-12-31
KAYNES,2023-09-05,2030-12-31
KEC,2011-04-20,2030-12-31
KEI,2019-10-29,2030-12-31
KENNAMET,2023-01-05,2023-09-05
KFINTECH,2023-01-05,2030-12-31
KIMS,2021-06-14,2030-12-31
KIOCL,2016-11-30,2019-10-29
KIRLOSBROS,2024-10-21,2026-03-05
KIRLOSENG,2024-10-21,2030-12-31
KNRCON,2011-04-20,2025-10-26
KOLTEPATIL,2011-06-06,2021-06-14
KOTAKBANK,2011-04-20,2030-12-31
KPIL,2018-10-04,2030-12-31
KPITTECH,2019-10-29,2030-12-31
KPRMILL,2011-04-20,2030-12-31
KRBL,2011-06-06,2024-10-21
KSB,2019-10-29,2021-06-14
KSB,2023-01-05,2024-10-21
KSB,2025-10-26,2026-03-05
KSCL,2011-06-06,2021-06-14
KTKBANK,2011-06-06,2021-06-14
LAKSHVILAS,2011-01-01,2020-11-27
LALPATHLAB,2015-12-23,2030-12-31
LAOPALA,2019-10-29,2021-06-14
LATENTVIEW,2021-06-14,2030-12-31
LAURUSLABS,2016-12-19,2030-12-31
LAXMIMACH,2011-01-01,2024-10-21
LEMONTREE,2018-04-09,2021-06-14
LEMONTREE,2023-01-05,2030-12-31
LENSKART,2026-03-05,2030-12-31
LGEINDIA,2026-03-05,2030-12-31
LICHSGFIN,2011-04-20,2030-12-31
LICI,2022-07-22,2030-12-31
LINDEINDIA,2011-04-20,2030-12-31
LLOYDSME,2024-10-21,2030-12-31
LODHA,2021-06-14,2030-12-31
LT,2011-04-20,2030-12-31
LTF,2011-08-12,2030-12-31
LTFOODS,2024-10-21,2030-12-31
LTI,2011-01-01,2023-01-05
LTIM,2023-01-05,2026-03-05
LTM,2026-03-05,2030-12-31
LTTS,2016-09-23,2030-12-31
LUPIN,2011-04-20,2030-12-31
LUXIND,2015-12-01,2024-10-21
LXCHEM,2021-06-14,2024-10-21
M&M,2011-04-20,2030-12-31
M&MFIN,2011-04-20,2030-12-31
MAHABANK,2019-10-29,2030-12-31
MAHINDCIE,2011-01-01,2023-09-05
MAHLIFE,2022-07-22,2024-10-21
MAHLOG,2017-11-10,2023-09-05
MAHSCOOTER,2019-10-29,2021-06-14
MAHSCOOTER,2025-10-26,2026-03-05
MAHSEAMLES,2019-10-29,2021-06-14
MAHSEAMLES,2024-10-21,2026-03-05
MANAPPURAM,2011-04-20,2030-12-31
MANKIND,2023-09-05,2030-12-31
MANPASAND,2015-07-09,2019-10-29
MANYAVAR,2022-07-22,2026-03-05
MAPMYINDIA,2021-06-14,2030-12-31
MARICO,2011-04-20,2030-12-31
MARUTI,2011-04-20,2030-12-31
MASFIN,2017-10-18,2021-06-14
MASTEK,2021-06-14,2025-10-26
MAXHEALTH,2021-06-14,2030-12-31
MAXINDIA,2011-01-01,2019-10-29
MAZDOCK,2021-06-14,2030-12-31
MCLEODRUSS,2011-06-06,2019-10-29
MCX,2019-10-29,2030-12-31
MEDANTA,2023-01-05,2030-12-31
MEDPLUS,2021-06-14,2024-10-21
MEESHO,2026-03-05,2030-12-31
MERCK,2011-01-01,2019-10-29
METROBRAND,2021-06-14,2024-10-21
METROPOLIS,2019-10-29,2026-03-05
MFL,2023-01-05,2023-09-05
MFSL,2011-04-20,2030-12-31
MGL,2016-07-01,2030-12-31
MHRIL,2011-06-06,2024-10-21
MIDHANI,2019-10-29,2021-06-14
MINDACORP,2012-03-19,2021-06-14
