OBEROI REALTY LIMITED (XNSE:OBEROIRLTY),OBEROIRLTY,OBEROIRLTY.NS,,,,,,,,,,,,
ASTER DM HEALTHCARE LIMITED (XNSE:ASTERDM),ASTERDM,ASTERDM.NS,,,,,,,,,,,,
CAPLIN POINT LABORATORIES LIMITED (XNSE:CAPLIPOINT),CAPLIPOINT,CAPLIPOINT.NS,,,,,,,,,,,,
Zee Entertainment Enterprises Limited (XNSE:ZEEL),ZEEL,ZEEL.NS,,,,,,,,,,,,
LLOYDS METALS AND ENERGY LIMITED (XNSE:LLOYDSME),LLOYDSME,LLOYDSME.NS,,,,,,,,,,,,
ELGI EQUIPMENTS LIMITED (XNSE:ELGIEQUIP),ELGIEQUIP,ELGIEQUIP.NS,,,,,,,,,,,,
MUTHOOT FINANCE LIMITED (XNSE:MUTHOOTFIN),MUTHOOTFIN,MUTHOOTFIN.NS,,,,,,,,,,,,
LEMON TREE HOTELS LIMITED (XNSE:LEMONTREE),LEMONTREE,LEMONTREE.NS,,,,,,,,,,,,
ACC Limited (XNSE:ACC),ACC,ACC.NS,,,,,,,,,,,,
IPCA LABORATORIES LIMITED (XNSE:IPCALAB),IPCALAB,IPCALAB.NS,,,,,,,,,,,,
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED (XNSE:GNFC),GNFC,GNFC.NS,,,,,,,,,,,,
REC LIMITED (XNSE:RECLTD),RECLTD,RECLTD.NS,,,,,,,,,,,,
ABBOTT INDIA LIMITED (XNSE:ABBOTINDIA),ABBOTINDIA,ABBOTINDIA.NS,,,,,,,,,,,,
GO DIGIT GENERAL INSURANCE LIMITED (XNSE:GODIGIT),GODIGIT,GODIGIT.NS,,,,,,,,,,,,
CUMMINS INDIA LIMITED (XNSE:CUMMINSIND),CUMMINSIND,CUMMINSIND.NS,,,,,,,,,,,,
TIMKEN INDIA LIMITED (XNSE:TIMKEN),TIMKEN,TIMKEN.NS,,,,,,,,,,,,
LINDE INDIA LIMITED (XNSE:LINDEINDIA),LINDEINDIA,LINDEINDIA.NS,,,,,,,,,,,,
Punjab National Bank (XNSE:PNB),PNB,PNB.NS,,,,,,,,,,,,
GRAPHITE INDIA LIMITED (XNSE:GRAPHITE),GRAPHITE,GRAPHITE.NS,,,,,,,,,,,,
KEI INDUSTRIES LIMITED (XNSE:KEI),KEI,KEI.NS,,,,,,,,,,,,
GLAND PHARMA LTD (XNSE:GLAND),GLAND,GLAND.NS,,,,,,,,,,,,
DR.REDDY'S LABORATORIES LTD (XNSE:DRREDDY),DRREDDY,DRREDDY.NS,,,,,,,,,,,,
PI INDUSTRIES LIMITED (XNSE:PIIND),PIIND,PIIND.NS,,,,,,,,,,,,
PTC INDUSTRIES LIMITED (XNSE:PTCIL),PTCIL,PTCIL.NS,,,,,,,,,,,,
3M INDIA LIMITED (XNSE:3MINDIA),3MINDIA,3MINDIA.NS,,,,,,,,,,,,
HINDUSTAN ZINC LIMITED (XNSE:HINDZINC),HINDZINC,HINDZINC.NS,,,,,,,,,,,,
VARDHMAN TEXTILES LIMITED (XNSE:VTL),VTL,VTL.NS,,,,,,,,,,,,
MARUTI SUZUKI INDIA LIMITED (XNSE:MARUTI),MARUTI,MARUTI.NS,,,,,,,,,,,,
RATTANINDIA ENTERPRISES LIMITED (XNSE:RTNINDIA),RTNINDIA,RTNINDIA.NS,,,,,,,,,,,,
COFORGE LIMITED (XNSE:COFORGE),COFORGE,COFORGE.NS,,,,,,,,,,,,
SARDA ENERGY & MINERALS LIMITED (XNSE:SARDAEN),SARDAEN,SARDAEN.NS,,,,,,,,,,,,
ACTION CONSTRUCTION EQUIPMENT LIMITED (XNSE:ACE),ACE,ACE.NS,,,,,,,,,,,,
CAN FIN HOMES LIMITED (XNSE:CANFINHOME),CANFINHOME,CANFINHOME.NS,,,,,,,,,,,,
BLUE DART EXPRESS LIMITED (XNSE:BLUEDART),BLUEDART,BLUEDART.NS,,,,,,,,,,,,
ITC LIMITED (XNSE:ITC),ITC,ITC.NS,,,,,,,,,,,,
PRESTIGE ESTATES PROJECTS LIMITED (XNSE:PRESTIGE),PRESTIGE,PRESTIGE.NS,,,,,,,,,,,,
THE GREAT EASTERN SHIPPING COMPANY LIMITED (XNSE:GESHIP),GESHIP,GESHIP.NS,,,,,,,,,,,,
ALKEM LABORATORIES LIMITED (XNSE:ALKEM),ALKEM,ALKEM.NS,,,,,,,,,,,,
