ticker,entry_date,exit_date,days_held,entry,exit,qty,reason,return_pct,pnl
BSE,2022-08-05,2022-11-10,63,218.74,187.84,4332,time,-14.13,-136163.79
WELCORP,2022-08-11,2022-09-05,15,201.17,245.21,17,target,21.89,738.79
HAL,2022-08-12,2022-09-16,23,1075.96,1183.75,2,trailing,10.02,209.7
TATAELXSI,2022-08-16,2022-08-26,8,9960.76,8919.47,96,stop,-10.45,-102320.12
VBL,2022-08-17,2022-08-22,3,207.25,182.23,1,stop,-12.07,-25.53
ELGIEQUIP,2022-08-17,2022-09-02,11,424.41,526.15,379,target,23.97,38094.34
THERMAX,2022-08-18,2022-09-19,21,2124.47,2584.24,386,target,21.64,175109.62
GNFC,2022-08-23,2022-09-16,17,630.73,643.72,882,trailing,2.06,9998.69
VBL,2022-08-23,2022-09-20,19,182.41,222.43,2,target,21.94,78.98
CGPOWER,2022-08-23,2022-09-23,22,226.12,245.38,4212,trailing,8.52,78553.02
FLUOROCHEM,2022-08-23,2022-10-06,30,3390.23,4130.97,281,target,21.85,205398.72
TATAELXSI,2022-08-29,2022-10-18,34,8470.99,6873.64,100,stop,-18.86,-161729.84
ELGIEQUIP,2022-09-05,2022-09-19,10,527.63,465.39,390,trailing,-11.8,-24775.77
WELCORP,2022-09-06,2022-09-26,14,248.72,255.97,128,trailing,2.92,844.72
ATGL,2022-09-06,2022-11-18,50,3542.86,3637.84,273,trailing,2.68,23379.69
ASAHIINDIA,2022-09-12,2022-09-26,10,685.42,567.44,14,stop,-17.21,-1674.53
RHIM,2022-09-16,2022-10-04,12,632.63,653.9,156,trailing,3.36,3057.67
GESHIP,2022-09-16,2022-11-10,36,483.07,496.47,1,trailing,2.77,12.13
GNFC,2022-09-19,2022-09-28,7,648.69,554.68,1,stop,-14.49,-95.58
HAL,2022-09-19,2022-11-10,35,1188.08,1158.82,478,trailing,-2.46,-15446.1
RAYMOND,2022-09-20,2022-09-28,6,405.19,345.56,403,stop,-14.72,-24425.9
ELGIEQUIP,2022-09-20,2022-10-28,26,470.36,502.97,2157,trailing,6.93,67609.63
VBL,2022-09-21,2022-10-10,12,222.65,215.88,3,trailing,-3.04,-22.02
CGPOWER,2022-09-26,2022-11-03,26,242.14,247.78,3933,trailing,2.33,19648.52
TIINDIA,2022-09-26,2022-11-09,29,2727.49,2700.23,28,trailing,-1.0,-960.82
WELCORP,2022-09-27,2022-10-28,21,258.99,211.7,165,stop,-18.26,-7903.35
RAYMOND,2022-09-29,2022-10-14,10,354.68,431.44,393,target,21.64,29765.06
INDHOTEL,2022-10-06,2022-10-14,6,342.59,305.59,1,stop,-10.8,-37.84
RHIM,2022-10-06,2022-10-31,16,671.87,638.34,151,trailing,-4.99,-5321.59
GNFC,2022-10-07,2022-11-02,17,606.26,627.57,291,trailing,3.51,5733.73
FLUOROCHEM,2022-10-07,2022-11-14,24,4071.01,3529.92,241,stop,-13.29,-132784.5
VBL,2022-10-11,2022-11-04,17,217.86,225.65,4,trailing,3.57,28.84
RAYMOND,2022-10-17,2022-11-09,15,405.07,429.68,418,trailing,6.08,9835.5
MAZDOCK,2022-10-19,2022-11-03,10,299.51,364.95,2289,target,21.85,147814.09
INDHOTEL,2022-10-31,2022-11-15,10,320.37,307.81,365,trailing,-3.92,-4880.19
ELGIEQUIP,2022-10-31,2022-12-23,38,506.86,411.63,1973,stop,-18.79,-190232.85
RHIM,2022-11-01,2022-11-23,15,635.26,784.09,151,target,23.43,22194.31
WELCORP,2022-11-01,2022-12-13,29,214.7,233.49,1,trailing,8.75,18.21
BEL,2022-11-03,2023-01-27,59,102.71,90.6,1774,stop,-11.79,-21932.34
GNFC,2022-11-04,2022-11-11,4,636.89,542.12,1228,stop,-14.88,-118259.59
MAZDOCK,2022-11-04,2022-11-21,10,363.0,376.41,2818,trailing,3.7,35099.36
VBL,2022-11-07,2022-12-09,23,228.65,279.41,4,target,22.2,200.4
RAYMOND,2022-11-10,2022-12-02,16,427.64,563.4,595,target,31.75,80007.9
GESHIP,2022-11-11,2022-11-28,11,512.5,623.42,720,target,21.64,78795.61
HAL,2022-11-11,2022-12-15,24,1175.68,1250.46,847,trailing,6.36,60672.67
TIINDIA,2022-11-14,2022-12-15,23,2573.77,2818.27,258,trailing,9.5,61272.61
FLUOROCHEM,2022-11-15,2022-12-20,25,3536.1,2994.18,239,stop,-15.33,-131547.56
TATAINVEST,2022-11-15,2022-12-21,26,236.12,200.81,14,stop,-14.96,-502.39
INDHOTEL,2022-11-16,2022-12-21,25,309.8,305.3,362,trailing,-1.45,-1919.41
ATGL,2022-11-21,2023-01-02,30,3611.85,3543.96,274,trailing,-1.88,-21150.61
COALINDIA,2022-11-21,2023-02-17,63,182.66,177.56,5,time,-2.79,-27.86
MAZDOCK,2022-11-22,2022-12-07,11,372.99,423.04,2699,trailing,13.42,132285.27
RHIM,2022-11-24,2022-12-21,19,780.38,794.31,217,trailing,1.78,2577.27
GESHIP,2022-11-29,2023-02-06,48,620.33,538.16,721,stop,-13.25,-60333.84
RAYMOND,2022-12-05,2022-12-23,14,553.13,474.73,605,stop,-14.17,-48238.37
MAZDOCK,2022-12-08,2022-12-23,11,425.09,340.68,2488,stop,-19.86,-212489.28
VBL,2022-12-12,2023-01-12,23,280.63,235.2,293,stop,-16.19,-13508.55
COCHINSHIP,2022-12-14,2022-12-23,7,304.73,238.29,1,stop,-21.8,-67.15
TIINDIA,2022-12-16,2022-12-30,10,2825.37,2762.39,270,trailing,-2.23,-18967.9
HAL,2022-12-16,2023-02-03,34,1249.89,1123.73,815,stop,-10.09,-105336.36
RVNL,2022-12-21,2023-01-17,19,72.27,71.62,9880,trailing,-0.9,-8264.63
TATAINVEST,2022-12-22,2023-01-25,24,202.56,210.17,1406,trailing,3.76,9954.7
KALYANKJIL,2022-12-23,2023-01-06,10,121.03,119.37,1,trailing,-1.37,-1.97
COCHINSHIP,2022-12-26,2023-01-09,10,238.51,240.76,3938,trailing,0.95,6424.87
RAYMOND,2022-12-26,2023-01-09,10,473.21,501.54,175,trailing,5.99,4735.8
MAZDOCK,2022-12-26,2023-01-10,11,343.29,384.34,2680,trailing,11.96,107488.49
SOLARINDS,2023-01-02,2023-01-31,20,4442.66,3979.95,167,stop,-10.42,-79101.99
DEEPAKFERT,2023-01-02,2023-03-16,51,696.16,567.89,3,stop,-18.43,-389.77
ATGL,2023-01-03,2023-01-25,16,3564.89,3653.16,271,trailing,2.48,21376.82
GODFRYPHLP,2023-01-06,2023-01-20,10,622.79,607.32,4,trailing,-2.48,-68.27
RAYMOND,2023-01-10,2023-01-27,12,504.63,511.92,151,trailing,1.44,900.79
KALYANKJIL,2023-01-10,2023-04-12,61,124.25,102.51,1,stop,-17.49,-22.03
COCHINSHIP,2023-01-10,2023-04-17,63,241.48,234.28,3963,time,-2.98,-31000.33
MAZDOCK,2023-01-11,2023-03-24,50,386.14,310.96,2461,stop,-19.47,-187241.69
VBL,2023-01-13,2023-01-30,10,237.09,236.67,615,trailing,-0.18,-634.17
RVNL,2023-01-18,2023-02-22,24,73.67,59.93,9580,stop,-18.64,-133237.19
GODFRYPHLP,2023-01-23,2023-03-10,32,614.82,607.51,4,trailing,-1.19,-35.61
ATGL,2023-01-27,2023-01-30,1,3473.97,2338.02,242,stop,-32.7,-276728.8
