tv_symbol,grade,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mfe_R,mae_pct,reason,weeks_held,split_flag
NSE:BALRAMCHIN,A,2025-07-11,4.6,0.74,6.0,2025-07-14,611.47,583.33,4.6,11.54,0.08,2025-08-04,563.68,-7.82,-1.7,1.9,0.41,-9.26,stop,3.0,
NSE:SHYAMMETL,A,2025-07-18,7.89,0.73,10.73,2025-07-21,914.17,835.5,8.61,9.93,0.06,2025-11-24,866.7,-5.19,-0.6,9.24,1.07,-12.13,stop,18.0,
NSE:CHOLAFIN,A,2025-07-18,4.18,0.26,5.49,2025-07-21,1552.14,1487.82,4.14,8.73,0.05,2025-08-04,1421.74,-8.4,-2.03,2.18,0.52,-9.61,stop,2.0,
NSE:SUNDARMFIN,A,2025-07-18,3.71,0.85,4.54,2025-07-21,5150.96,4960.04,3.71,8.78,0.05,2025-08-04,4536.32,-11.93,-3.22,1.42,0.38,-13.97,stop,2.0,
NSE:HDFCLIFE,A,2025-07-25,3.87,0.68,4.87,2025-07-28,759.29,730.25,3.82,10.12,0.07,2025-11-03,727.41,-4.2,-1.1,6.96,1.82,-4.72,stop,14.0,
NSE:DIXON,A,2025-07-25,5.03,0.69,6.62,2025-07-28,16741.55,15852.95,5.31,9.74,0.05,2025-10-27,15400.0,-8.01,-1.51,10.33,1.95,-8.28,stop,13.0,
NSE:KAYNES,A,2025-08-01,15.17,0.63,20.04,2025-08-04,6375.0,5737.5,10.0,13.37,0.1,2025-12-01,5510.0,-13.57,-1.36,20.86,2.09,-16.53,stop,17.0,
NSE:AFFLE,A,2025-08-01,8.96,0.57,14.21,2025-08-04,1944.6,1773.0,8.82,17.0,0.14,2025-11-10,1747.2,-10.15,-1.15,12.41,1.41,-12.06,stop,14.0,
NSE:CHOLAHLDNG,A,2025-08-08,5.03,0.23,6.24,2025-08-11,1845.0,1760.1,4.6,6.5,0.06,2025-09-01,1738.4,-5.78,-1.26,6.7,1.46,-6.72,stop,3.0,
NSE:UNIONBANK,A,2025-08-08,2.93,0.42,4.45,2025-08-11,131.0,127.14,2.95,8.21,0.06,2025-09-01,125.5,-4.2,-1.42,5.76,1.96,-4.85,stop,3.0,
NSE:CDSL,A,2025-08-08,6.61,0.7,9.73,2025-08-11,1572.0,1463.57,6.9,6.13,0.05,2025-09-01,1431.5,-8.94,-1.3,2.51,0.36,-9.61,stop,3.0,
NSE:BDL,A,2025-08-14,7.65,0.54,10.76,2025-08-18,1595.67,1451.34,9.05,15.25,0.09,2025-09-01,1434.31,-10.11,-1.12,1.69,0.19,-11.76,stop,2.0,
NSE:RAINBOW,A,2025-08-22,1.93,0.16,3.02,2025-08-25,1577.3,1547.0,1.92,7.88,0.05,2025-09-01,1507.0,-4.46,-2.32,0.0,0.0,-6.17,stop,1.0,
NSE:INTELLECT,A,2025-08-22,6.9,0.36,11.12,2025-08-25,965.3,901.1,6.65,10.32,0.06,2025-11-10,1125.0,16.54,2.24,28.93,4.35,-7.77,blowoff_half,11.0,
NSE:PEL,A,2025-08-22,6.9,0.29,9.56,2025-08-25,1168.0,1087.1,6.93,8.75,0.05,2025-09-08,1085.0,-7.11,-1.03,2.73,0.39,-8.83,stop,2.0,
NSE:ASTRAZEN,A,2025-08-29,5.97,0.05,7.03,2025-09-01,8460.0,7955.0,5.97,7.35,0.05,2025-12-29,8977.0,6.11,1.51,16.42,2.75,-0.67,trail,17.0,
NSE:BEML,A,2025-09-05,5.78,0.74,7.85,2025-09-08,2045.73,1917.67,6.26,11.16,0.09,2025-11-24,1911.71,-6.55,-1.05,10.94,1.75,-11.44,stop,11.0,
NSE:CUB,A,2025-09-05,3.28,0.72,4.23,2025-09-08,150.82,145.12,3.78,11.02,0.07,2025-11-03,171.11,13.45,2.78,19.65,5.2,-2.51,blowoff_half,8.0,
NSE:BSE,A,2025-09-05,9.14,0.79,11.4,2025-09-08,2329.0,2107.6,9.51,13.27,0.08,2025-09-29,2055.0,-11.76,-1.24,2.57,0.27,-13.2,stop,3.0,
NSE:HEG,A,2025-09-12,6.33,0.62,7.68,2025-09-15,519.15,485.7,6.44,11.02,0.06,2025-11-17,515.0,-0.8,0.94,16.84,2.61,-3.48,trail,9.0,
NSE:KARURVYSYA,A,2025-09-12,3.4,0.54,4.22,2025-09-15,212.0,203.6,3.96,10.69,0.05,2025-11-03,245.12,15.62,2.97,21.93,5.54,-3.4,blowoff_half,7.0,
NSE:MAZDOCK,B,2025-09-12,9.05,0.89,10.51,2025-09-16,2908.0,2643.45,9.1,10.14,0.04,2025-12-08,2606.78,-10.36,-1.14,4.72,0.52,-15.84,stop,11.9,
