ticker,entry_date,exit_date,entry,exit,qty,days_held,reason,return_pct,pnl,decision_date,nms,nms_rank_pct,n_rankable,mr12,mr6,close,turnover_63d,nms_rank_in_band
ADANIGREEN,2019-11-01,2020-05-05,137.6046,214.2481,12,123,rebalance_trim,55.6984,919.7222,2019-10-31,1.7847064400103172,0.823943661971831,142,0.8776325788894469,0.5133382580927224,89.69999694824219,50021456.4016037,26.0
ALKEM,2020-04-01,2020-05-05,2285.5219,2532.9989,1,19,rebalance_trim,10.828,247.477,2020-03-31,3.104793927967397,0.9533333333333334,150,1.877264202825237,1.4287387518950283,2189.167724609375,201818317.1734619,7.999999999999995
ISEC,2020-02-03,2020-05-05,360.8809,353.6589,8,59,rebalance_trim,-2.0012,-57.7761,2020-01-31,2.7712838232948798,0.9533333333333334,150,1.9345199031560507,1.8292258096297147,470.55,107207851.19999999,7.999999999999995
PIIND,2019-02-01,2020-05-05,941.7648,1503.7613,2,304,rebalance_trim,59.6748,1123.9929,2019-01-31,1.6073613380681988,0.8133333333333334,150,-0.3691321496752568,0.4853906073150072,835.3931884765625,53115231.044921875,28.999999999999996
RALLIS,2020-05-04,2020-05-05,194.5493,212.1978,14,1,rebalance_trim,9.0715,247.0786,2020-04-30,2.1061167066810462,0.8533333333333334,150,0.16547542266909537,0.10299226727602064,197.85133361816406,74354050.17749023,22.999999999999993
COROMANDEL,2020-02-03,2020-05-06,571.0883,579.3917,5,60,rebalance_trim,1.454,41.5167,2020-01-31,2.06930542038,0.8666666666666667,150,0.8127284401068879,1.6206656225617273,587.9855346679688,65054626.407714844,20.999999999999996
DEEPAKNTR,2020-01-01,2020-05-06,359.278,512.3127,6,83,rebalance_trim,42.5951,918.2079,2019-12-31,1.8041063687581602,0.815068493150685,146,1.351465313893249,0.5735285569349078,363.2445373535156,79265048.94885254,27.999999999999993
APLLTD,2020-05-04,2020-05-08,696.9267,763.2085,4,4,rebalance_trim,9.5106,265.1269,2020-04-30,1.9627629798665498,0.8333333333333334,150,0.07484649314445246,0.02711799604914897,698.0210571289062,117068282.22424316,25.999999999999993
ISEC,2020-02-03,2020-05-08,360.8809,428.4962,12,62,rebalance_trim,18.7362,811.3842,2020-01-31,2.7712838232948798,0.9533333333333334,150,1.9345199031560507,1.8292258096297147,470.55,107207851.19999999,7.999999999999995
MCX,2020-01-01,2020-05-11,212.6406,210.48,12,86,rebalance_trim,-1.0161,-25.9277,2019-12-31,2.7598040475119157,0.9452054794520548,146,1.9289896321042135,1.4544838048044972,218.5242919921875,379450409.9810791,9.0
GMMPFAUDLR,2020-04-01,2020-05-12,878.69,1208.787,2,24,rebalance_trim,37.5669,660.194,2020-03-31,3.3959642984642704,0.9666666666666667,150,2.2097575716691407,1.5519721752069386,831.2354736328125,98252580.51635742,5.999999999999999
ADANIGREEN,2019-11-01,2020-05-13,137.6046,232.1852,10,129,rebalance_trim,68.7336,945.8057,2019-10-31,1.7847064400103172,0.823943661971831,142,0.8776325788894469,0.5133382580927224,89.69999694824219,50021456.4016037,26.0
MIDHANI,2020-04-01,2020-05-13,170.2967,198.7165,13,25,rebalance_trim,16.6884,369.4564,2020-03-31,2.8984101629803796,0.94,150,1.3037002673846547,1.5582958168447665,168.23193359375,114259809.07154846,10.000000000000007
RALLIS,2020-05-04,2020-05-13,194.3397,208.5074,11,7,rebalance_trim,7.2902,155.8444,2020-04-30,2.1061167066810462,0.8533333333333334,150,0.16547542266909537,0.10299226727602064,197.85133361816406,74354050.17749023,22.999999999999993
RITES,2020-05-04,2020-05-13,86.4967,93.1145,30,7,rebalance_trim,7.6509,198.5324,2020-04-30,2.02060042464444,0.84,150,0.5653443829959912,-0.23543734536200442,87.93013763427734,103230031.5712738,25.000000000000004
INDIACEM,2020-05-04,2020-05-18,100.0117,113.7544,34,10,rebalance_trim,13.7411,467.2513,2020-04-30,2.290098488784456,0.8733333333333333,150,-0.15882521399189575,0.4849364529908197,102.32418823242188,182978810.05628204,20.000000000000007
APLLTD,2020-05-04,2020-05-19,696.9267,831.245,3,11,rebalance_trim,19.2729,402.9547,2020-04-30,1.9627629798665498,0.8333333333333334,150,0.07484649314445246,0.02711799604914897,698.0210571289062,117068282.22424316,25.999999999999993
INDIACEM,2020-05-04,2020-05-22,100.0117,124.9691,18,14,rebalance_trim,24.9545,449.2332,2020-04-30,2.290098488784456,0.8733333333333333,150,-0.15882521399189575,0.4849364529908197,102.32418823242188,182978810.05628204,20.000000000000007
RELAXO,2019-12-02,2020-05-22,581.438,648.2673,4,116,rebalance_trim,11.4938,267.3175,2019-11-29,2.4687238374900433,0.9387755102040817,147,1.4614347936310017,1.3041805252997265,574.611328125,55658883.44433594,9.999999999999993
MCX,2020-01-01,2020-05-28,212.6406,239.7682,11,98,rebalance_trim,12.7575,298.4033,2019-12-31,2.7598040475119157,0.9452054794520548,146,1.9289896321042135,1.4544838048044972,218.5242919921875,379450409.9810791,9.0
METROPOLIS,2020-05-04,2020-05-28,305.4431,329.94,7,17,rebalance_trim,8.0201,171.4783,2020-04-30,2.4938969242151323,0.9,150,0.9126237631930849,-0.01596932852405334,309.2164306640625,120569595.21240234,15.999999999999996
AMBER,2020-04-01,2020-05-29,1190.2918,1237.6566,2,36,rebalance_trim,3.9793,94.7295,2020-03-31,2.9069834554344087,0.9466666666666667,150,1.673531142891369,1.3307989916999956,1230.449951171875,81595641.79418945,9.000000000000002
DIXON,2020-01-01,2020-06-01,771.671,990.9949,3,100,rebalance_trim,28.422,657.972,2019-12-31,2.524169664144332,0.9246575342465754,146,1.7317558393719215,1.2759260801564625,757.2647705078125,84585337.83691406,11.999999999999995
NAM-INDIA,2019-07-01,2020-06-01,204.6758,214.4752,122,223,rebalance_exit,4.7878,1195.5281,2019-06-28,1.810948934112378,0.8066666666666666,150,0.15561363183350455,0.8398316168444871,182.4879150390625,124778024.98234558,30.000000000000004
NH,2020-03-02,2020-06-01,305.9167,272.3606,95,58,rebalance_exit,-10.969,-3187.8222,2020-02-28,2.678260085732549,0.9466666666666667,150,2.721950960079419,1.950350194738452,329.5237731933594,73135368.85723877,9.000000000000002
RALLIS,2020-05-04,2020-06-01,192.5693,202.5105,12,19,rebalance_trim,5.1624,119.2948,2020-04-30,2.1061167066810462,0.8533333333333334,150,0.16547542266909537,0.10299226727602064,197.85133361816406,74354050.17749023,22.999999999999993
RITES,2020-05-04,2020-06-01,86.5514,88.8388,284,19,rebalance_exit,2.6428,649.6149,2020-04-30,2.02060042464444,0.84,150,0.5653443829959912,-0.23543734536200442,87.93013763427734,103230031.5712738,25.000000000000004
VBL,2020-04-01,2020-06-01,47.3146,55.6807,482,37,rebalance_exit,17.6817,4032.4259,2020-03-31,2.0713254281610345,0.8066666666666666,150,1.197572721749825,0.6700808758313217,46.224342346191406,144074426.7257309,30.000000000000004
ADANIGREEN,2019-11-01,2020-06-02,137.6046,268.0593,11,142,rebalance_trim,94.804,1435.0014,2019-10-31,1.7847064400103172,0.823943661971831,142,0.8776325788894469,0.5133382580927224,89.69999694824219,50021456.4016037,26.0
