ticker,entry_date,qty,basis,pnl,entry_px,last_exit,days_held,n_sells,n_trims,final_reason,nms,rank_in_band,n_rankable,mr12,mr6,turnover,return_pct,exit_px_eff
TRITURBINE,2022-12-01,324,92683.44,-9774.1327,286.06,2023-01-02,22,1,0,rebalance_exit,2.4319734743770813,10.999999999999998,150,1.0973564918416272,1.302554376675614,242042226.01675412,-10.545716365296757,255.8929237654321
RECLTD,2023-01-02,833,81874.90359999999,3237.7239,98.2892,2023-02-01,21,1,0,rebalance_exit,1.9589182132423395,20.000000000000007,150,1.137249345402466,1.3816201235204657,703136535.3254547,3.954476594950153,102.17602340936374
PFC,2023-01-02,921,90042.3579,8965.6616,97.7937,2023-04-03,62,4,3,rebalance_exit,2.147057727268031,12.000000000000004,150,1.2042992920572462,1.5925923601105263,638101973.952713,9.95715995127222,107.50056406080347
JKLAKSHMI,2023-01-02,112,89471.5696,-2392.3449,798.8533,2023-04-03,62,2,1,rebalance_exit,1.8215444882056455,24.0,150,0.6210559907298189,1.5538976280528376,240996702.77130127,-2.673860434879417,777.4930776785715
RCF,2023-01-02,858,104047.4292,-25767.3709,121.2674,2023-04-03,62,1,0,rebalance_exit,1.8129694337459583,25.000000000000004,150,1.3226252407941008,1.052163034225586,386533811.74342346,-24.765024083843485,91.23549918414919
GODFRYPHLP,2023-01-02,135,84970.269,-9047.7107,629.4094,2023-03-01,41,1,0,rebalance_exit,2.506628867073985,7.999999999999995,150,1.59911655742541,1.8095544336229772,266801215.2703857,-10.648089980743734,562.3893207407408
HUDCO,2023-01-02,1949,89265.5643,-13050.1784,45.8007,2023-04-03,62,1,0,rebalance_exit,2.224849408969376,10.999999999999998,150,1.2823828239891402,1.6446529836293764,323011957.57063293,-14.619499134225494,39.104867060030784
IDBI,2023-01-02,1890,97090.3584,-8548.376900000001,51.6708,2023-03-01,41,2,1,rebalance_exit,1.6858228615471471,28.000000000000007,150,0.2532209011609197,1.6248237237650789,641767544.6806641,-8.804557981732614,46.84760925925926
MAHABANK,2023-01-02,3319,90162.9161,722.7629999999999,27.2702,2023-02-01,21,2,1,rebalance_exit,2.119016548616816,14.0,150,0.9912397046923046,1.7029719631020896,471485011.1452408,0.8016189263426007,27.383452576077133
RHIM,2023-01-02,122,98265.22940000001,-22049.9403,805.4527,2023-04-03,62,1,0,rebalance_exit,2.605644437931537,4.999999999999993,150,2.43915925905606,1.358535817012006,216321669.45263672,-22.43920910238062,624.7154844262296
ABCAPITAL,2023-01-02,696,108583.9784,14206.930199999999,150.0697,2023-10-03,185,3,2,rebalance_exit,2.010638384427964,19.0,150,0.6378881931275212,1.8012503040458048,389737896.0,13.083818081950108,176.42371925287358
