trade_id,ticker,signal_date,bought_date,as_of_snapshot,provenance,entry,stop,target,grade,tier,crs_rank,ext_pct_over_sma44,band_width_pct,body_ratio,signal_conviction,stop_week_low,buy_zone_low,buy_zone_high,record_would_skip_as_extended,pattern,corporate_actions,stop_width_pct_card,status,r_multiple,return_pct,exit_reason,hold_days,close_date,close_price,designed_r,beyond_stop_r,gap_through,mae_r,mfe_r,capture_of_mfe,nifty_same_window_pct,stop_width_pct_engine,width_gap_pct,stop_width_pct,stop_width_basis,state,has_corporate_action,shares,position_size,entry_price_filled
JSWSTEEL:2026-08-21,JSWSTEEL,2026-08-21,2026-08-24,2026-08-21,reconstructed,1293.7,1250.4,1380.3,A,signal,0.0791,7.1,4.7,0.5,normal,1250.4,1293.7,1310.6,False,44-week SMA pullback,,3.347,ACTIVE,,-1.62,,25.0,,1277.0,,,,,,,,,,3.347,card,open,False,,,
SAIL:2026-08-21,SAIL,2026-08-21,2026-08-24,2026-08-21,reconstructed,173.46,168.11,184.16,A,signal,0.0765,8.23,5.1,0.546,normal,168.11,173.46,177.0,False,44-week SMA pullback,,3.0843,ACTIVE,,5.84,,25.0,,185.0,,,,,,,,,,3.0843,card,open,False,,,
PHOENIXLTD:2026-08-24,PHOENIXLTD,2026-08-24,2026-08-24,2026-08-28,reconstructed,1916.1,1876.0,1996.3,A,signal,,,,,,,,,,44-week SMA pullback,,2.0928,ACTIVE,,3.39,,25.0,,1978.4,,,,,,,,,,2.0928,card,open,False,,,
HINDZINC:2026-08-28,HINDZINC,2026-08-28,2026-08-31,2026-08-28,reconstructed,622.0,586.85,692.3,A,signal,0.1031,10.31,7.3,0.577,normal,586.85,622.0,632.0,False,44-week SMA pullback,,5.6511,HIT_STOP,-1.65,-4.39,stop,10.0,2026-09-14,576.45,-1.0,-0.65,True,-1.606,-0.3158,,-2.8334,2.6606,112.399,2.6606,engine,closed,False,,,
USHAMART:2026-08-28,USHAMART,2026-08-28,2026-08-31,2026-08-28,reconstructed,492.45,479.0,519.35,A,signal,0.1097,9.16,4.0,0.563,normal,479.0,492.45,498.8,False,44-week SMA pullback,,2.7312,ACTIVE,,5.04,,20.0,,518.8,,,,,,,,,,2.7312,card,open,False,,,
ASTERDM:2026-09-04,ASTERDM,2026-09-04,2026-09-07,2026-09-04,reconstructed,785.75,745.05,867.15,A,signal,0.1441,12.62,6.0,0.834,normal,745.05,785.75,792.05,False,44-week SMA pullback,,5.1798,ACTIVE,,-3.38,,15.0,,759.4,,,,,,,,,,5.1798,card,open,False,,,
IDFCFIRSTB:2026-09-04,IDFCFIRSTB,2026-09-04,2026-09-07,2026-09-04,reconstructed,86.71,82.5,95.13,A,signal,0.155,12.23,6.5,0.663,normal,82.5,86.71,88.1,False,44-week SMA pullback,,4.8553,ACTIVE,,-2.89,,15.0,,83.8,,,,,,,,,,4.8553,card,open,False,,,
ANGELONE:2026-09-11,ANGELONE,2026-09-11,2026-09-14,2026-09-11,reconstructed,305.0,289.05,336.9,A,signal,0.1125,7.66,6.0,0.223,low,289.05,305.0,307.4,False,44-week SMA pullback,,5.2295,ACTIVE,,-5.57,,10.0,,288.0,,,,,,,,,,5.2295,card,open,False,,,
BANDHANBNK:2026-09-11,BANDHANBNK,2026-09-11,2026-09-14,2026-09-11,reconstructed,176.52,161.67,206.22,A,signal,0.055,2.92,9.6,0.686,normal,161.67,176.52,178.54,False,44-week SMA pullback,,8.4126,ACTIVE,,6.33,,10.0,,187.7,,,,,,,,,,8.4126,card,open,False,,,
CHOLAFIN:2026-09-11,CHOLAFIN,2026-09-11,2026-09-14,2026-09-11,reconstructed,1845.9,1795.1,1947.5,A,signal,0.149,9.96,4.0,0.1,low,1795.1,1845.9,1868.2,False,44-week SMA pullback,,2.752,ACTIVE,,-9.92,,10.0,,1662.7,,,,,,,,,,2.752,card,open,False,111.34,205518.7,1845.9
GESHIP:2026-09-11,GESHIP,2026-09-11,2026-09-14,2026-09-11,reconstructed,1412.2,1352.0,1532.6,A,signal,0.099,7.72,5.3,0.577,normal,1352.0,1412.2,1426.9,False,44-week SMA pullback,,4.2629,ACTIVE,,6.02,,10.0,,1497.2,,,,,,,,,,4.2629,card,open,False,,,
ABCAPITAL:2026-09-18,ABCAPITAL,2026-09-18,2026-09-21,2026-09-18,reconstructed,394.02,378.0,426.06,A,signal,0.1759,8.83,8.1,0.47,normal,378.0,394.02,405.84,False,44-week SMA pullback,,4.0658,ACTIVE,,-3.73,,5.0,,390.0,,,,,,,,,,4.0658,card,open,False,,,
CARBORUNIV:2026-09-18,CARBORUNIV,2026-09-18,,2026-09-18,reconstructed,1124.4,1018.1,1337.0,A,signal,0.2108,17.78,11.0,0.32,normal,1018.1,1124.4,1141.3,False,44-week SMA pullback,,9.4539,,,,,,,,,,,,,,,,,9.4539,card,not_entered,False,,,
POWERINDIA:2026-09-18,POWERINDIA,2026-09-18,2026-09-21,2026-09-18,reconstructed,31172.5,29645.0,34227.5,A,signal,0.1884,12.2,9.8,0.414,normal,29645.0,31172.5,32107.67,False,44-week SMA pullback,,4.9002,ACTIVE,,-4.45,,5.0,,31035.0,,,,,,,,,,4.9002,card,open,False,,,
MANAPPURAM:2026-09-25,MANAPPURAM,2026-09-25,,2026-09-25,reconstructed,334.0,313.15,375.7,A,signal,0.1335,8.95,6.3,0.704,normal,313.15,334.0,334.25,False,44-week SMA pullback,,6.2425,,,,,,,,,,,,,,,,,6.2425,card,not_entered,False,,,
OBEROIRLTY:2026-09-25,OBEROIRLTY,2026-09-25,,2026-09-25,reconstructed,1858.5,1754.3,2066.9,A,signal,0.1582,10.75,6.9,0.727,normal,1754.3,1858.5,1882.9,False,44-week SMA pullback,,5.6067,,,,,,,,,,,,,,,,,5.6067,card,not_entered,False,,,
STARHEALTH:2026-09-25,STARHEALTH,2026-09-25,,2026-09-25,reconstructed,558.15,513.0,648.45,A,signal,0.1335,9.25,10.1,0.252,normal,513.0,558.15,569.5,False,44-week SMA pullback,,8.0892,,,,,,,,,,,,,,,,,8.0892,card,not_entered,False,,,
